ArmSpan,151.67
Timestamp,HeadX,HeadY,HeadZ,HeadPitch,HeadYaw,HeadRoll,LeftX_norm,LeftY_norm,LeftZ_norm,RightX_norm,RightY_norm,RightZ_norm
0.0419,215.24,-1116.63,81.47,2.94,107.67,1.27,0.1460,0.0335,-0.4801,-0.0768,0.1203,-0.2182
0.0838,215.45,-1116.79,81.52,3.13,106.98,1.09,0.1414,0.0376,-0.4776,-0.0789,0.1224,-0.2323
0.1251,215.66,-1116.92,81.55,3.26,106.41,1.03,0.1380,0.0392,-0.4762,-0.0824,0.1240,-0.2459
0.1669,215.81,-1117.00,81.57,3.46,105.82,0.89,0.1366,0.0384,-0.4762,-0.0867,0.1224,-0.2576
0.2086,215.92,-1117.05,81.58,3.60,105.28,0.79,0.1369,0.0359,-0.4772,-0.0914,0.1201,-0.2685
0.2508,215.99,-1117.08,81.55,3.45,104.96,0.83,0.1383,0.0321,-0.4781,-0.0962,0.1187,-0.2794
0.2927,216.04,-1117.10,81.50,3.04,104.91,0.82,0.1399,0.0288,-0.4784,-0.1001,0.1176,-0.2901
0.3345,216.04,-1117.11,81.44,2.67,104.97,0.80,0.1402,0.0266,-0.4767,-0.1020,0.1159,-0.3022
0.3760,216.05,-1117.11,81.37,2.27,104.95,0.73,0.1366,0.0270,-0.4702,-0.1029,0.1119,-0.3125
0.4178,216.09,-1117.05,81.37,2.50,104.80,0.57,0.1319,0.0309,-0.4584,-0.1024,0.1073,-0.3172
0.4605,216.16,-1116.97,81.37,2.46,104.40,0.33,0.1271,0.0379,-0.4421,-0.1012,0.1042,-0.3164
0.5019,216.30,-1116.93,81.26,1.83,103.45,-0.02,0.1225,0.0470,-0.4228,-0.1006,0.1036,-0.3128
0.5430,216.48,-1116.92,81.10,0.94,102.41,-0.27,0.1172,0.0586,-0.4006,-0.1006,0.1063,-0.3076
0.5848,216.65,-1116.97,80.98,0.11,101.34,-0.58,0.1121,0.0708,-0.3775,-0.1004,0.1101,-0.3010
0.6267,216.85,-1117.03,80.91,-0.35,100.26,-1.15,0.1065,0.0827,-0.3533,-0.0997,0.1151,-0.2927
0.6687,217.07,-1117.16,80.77,-1.08,99.00,-1.89,0.1006,0.0930,-0.3297,-0.0987,0.1197,-0.2840
0.7106,217.29,-1117.32,80.63,-1.91,97.56,-2.18,0.0949,0.1003,-0.3060,-0.0967,0.1242,-0.2748
0.7526,217.44,-1117.52,80.53,-2.28,96.17,-2.40,0.0904,0.1043,-0.2830,-0.0940,0.1284,-0.2656
0.7938,217.65,-1117.70,80.41,-2.93,94.99,-1.89,0.0855,0.1081,-0.2679,-0.0908,0.1319,-0.2569
0.8357,217.65,-1117.99,80.28,-3.56,94.40,-2.47,0.0806,0.1131,-0.2553,-0.0851,0.1357,-0.2487
0.8775,217.68,-1118.22,80.15,-3.85,94.06,-3.11,0.0767,0.1154,-0.2453,-0.0799,0.1384,-0.2402
0.9193,217.70,-1118.52,80.05,-4.28,93.73,-3.37,0.0725,0.1188,-0.2379,-0.0753,0.1406,-0.2325
0.9615,217.69,-1118.81,80.04,-4.03,93.18,-3.55,0.0698,0.1255,-0.2309,-0.0713,0.1434,-0.2263
1.0028,217.70,-1119.13,80.04,-3.89,92.63,-3.31,0.0682,0.1310,-0.2243,-0.0683,0.1470,-0.2211
1.0445,217.63,-1119.39,80.10,-3.16,92.57,-3.40,0.0678,0.1372,-0.2172,-0.0653,0.1511,-0.2165
1.0869,217.56,-1119.70,80.08,-2.92,92.62,-3.51,0.0692,0.1457,-0.2104,-0.0631,0.1562,-0.2120
1.1285,217.45,-1119.97,80.11,-2.81,92.81,-3.37,0.0722,0.1542,-0.2050,-0.0619,0.1610,-0.2071
1.1706,217.31,-1120.18,80.18,-2.32,93.22,-3.22,0.0759,0.1626,-0.1991,-0.0624,0.1658,-0.2017
1.2114,217.17,-1120.42,80.24,-2.06,93.58,-3.11,0.0816,0.1701,-0.1919,-0.0637,0.1714,-0.1954
1.2529,216.96,-1120.62,80.32,-1.48,94.20,-3.16,0.0890,0.1763,-0.1841,-0.0660,0.1767,-0.1880
1.2945,216.77,-1120.87,80.34,-1.22,94.87,-3.10,0.0969,0.1837,-0.1758,-0.0693,0.1825,-0.1799
1.3369,216.63,-1121.05,80.42,-1.01,95.60,-2.88,0.1010,0.1919,-0.1660,-0.0728,0.1891,-0.1715
1.3787,216.55,-1121.17,80.53,-0.15,96.06,-2.65,0.1009,0.1993,-0.1548,-0.0747,0.1974,-0.1622
1.4202,216.49,-1121.41,80.61,0.40,96.31,-2.55,0.0973,0.2089,-0.1444,-0.0743,0.2082,-0.1529
1.4623,216.49,-1121.70,80.70,0.85,96.55,-2.56,0.0903,0.2216,-0.1343,-0.0723,0.2208,-0.1440
1.5036,216.50,-1122.01,80.79,1.22,96.91,-2.83,0.0811,0.2347,-0.1244,-0.0701,0.2346,-0.1392
1.5455,216.55,-1122.28,80.95,1.91,97.34,-3.25,0.0715,0.2464,-0.1171,-0.0701,0.2466,-0.1398
1.5880,216.64,-1122.47,81.14,2.75,98.07,-3.98,0.0639,0.2591,-0.1126,-0.0725,0.2498,-0.1427
1.6294,216.83,-1122.58,81.24,3.35,98.91,-4.51,0.0586,0.2703,-0.1098,-0.0822,0.2425,-0.1467
1.6718,217.09,-1122.56,81.34,3.56,100.39,-4.86,0.0583,0.2826,-0.1103,-0.0997,0.2222,-0.1483
1.7130,217.39,-1122.38,81.38,4.07,102.34,-5.70,0.0595,0.2929,-0.1133,-0.1235,0.1887,-0.1487
1.7546,217.81,-1122.02,81.45,4.41,104.27,-6.57,0.0637,0.3009,-0.1209,-0.1535,0.1509,-0.1470
1.7968,218.24,-1121.51,81.54,4.95,105.79,-8.25,0.0675,0.3066,-0.1308,-0.1874,0.1131,-0.1353
1.8385,218.71,-1120.96,81.60,5.28,107.07,-9.74,0.0706,0.3088,-0.1415,-0.2226,0.0779,-0.1089
1.8804,219.16,-1120.40,81.56,5.09,108.20,-11.12,0.0717,0.3090,-0.1517,-0.2480,0.0489,-0.0690
1.9215,219.64,-1119.85,81.56,4.80,108.84,-11.89,0.0659,0.3062,-0.1594,-0.2604,0.0275,-0.0225
1.9639,220.06,-1119.28,81.55,5.09,108.87,-13.25,0.0580,0.3024,-0.1658,-0.2555,0.0212,0.0253
2.0059,220.50,-1118.86,81.46,5.02,108.34,-13.70,0.0481,0.2998,-0.1694,-0.2429,0.0338,0.0658
2.0473,220.82,-1118.54,81.41,4.79,107.20,-14.63,0.0384,0.2947,-0.1688,-0.2258,0.0587,0.0979
2.0893,221.10,-1118.27,81.33,4.46,105.90,-14.78,0.0301,0.2903,-0.1646,-0.2076,0.0945,0.1177
2.1305,221.40,-1118.02,81.18,4.31,104.83,-14.50,0.0235,0.2842,-0.1548,-0.1911,0.1290,0.1181
2.1722,221.69,-1117.76,81.08,4.16,103.80,-14.69,0.0191,0.2781,-0.1448,-0.1766,0.1605,0.1109
2.2142,221.90,-1117.59,80.91,3.65,102.81,-15.05,0.0170,0.2763,-0.1355,-0.1609,0.1914,0.0955
2.2562,222.00,-1117.44,80.74,2.88,101.59,-15.27,0.0165,0.2762,-0.1270,-0.1429,0.2187,0.0738
2.2982,221.98,-1117.39,80.59,2.03,100.08,-15.28,0.0164,0.2759,-0.1197,-0.1211,0.2427,0.0469
2.3399,221.91,-1117.29,80.40,0.91,98.23,-14.72,0.0183,0.2739,-0.1161,-0.0945,0.2636,0.0148
2.3812,221.75,-1117.13,80.29,0.01,96.19,-13.83,0.0215,0.2699,-0.1177,-0.0670,0.2771,-0.0166
2.4229,221.59,-1116.90,80.29,-0.76,93.32,-12.67,0.0269,0.2616,-0.1240,-0.0473,0.2881,-0.0438
2.4655,221.34,-1116.53,80.27,-1.03,90.56,-11.16,0.0376,0.2471,-0.1347,-0.0347,0.2957,-0.0662
2.5072,221.03,-1116.11,80.30,-1.20,87.12,-9.61,0.0543,0.2266,-0.1491,-0.0271,0.3000,-0.0819
2.5490,220.63,-1115.68,80.29,-1.55,83.98,-7.56,0.0760,0.1987,-0.1653,-0.0187,0.3059,-0.0933
2.5903,220.08,-1115.20,80.24,-1.88,80.87,-5.85,0.1016,0.1634,-0.1819,-0.0127,0.3093,-0.1016
2.6321,219.53,-1114.67,80.32,-2.16,78.40,-3.92,0.1277,0.1207,-0.1985,-0.0080,0.3152,-0.1098
2.6744,218.92,-1114.09,80.27,-2.53,76.02,-2.67,0.1560,0.0744,-0.2114,-0.0042,0.3195,-0.1175
2.7162,218.34,-1113.37,80.30,-2.53,74.00,-1.35,0.1829,0.0222,-0.2143,-0.0014,0.3219,-0.1259
2.7579,217.88,-1112.66,80.26,-2.53,72.17,0.52,0.2067,-0.0297,-0.2082,0.0006,0.3245,-0.1335
2.7997,217.45,-1111.94,80.14,-2.86,70.26,2.14,0.2238,-0.0818,-0.1886,0.0027,0.3266,-0.1395
2.8411,217.07,-1111.30,80.05,-3.18,68.81,4.16,0.2335,-0.1292,-0.1528,0.0053,0.3282,-0.1454
2.8829,216.72,-1110.87,79.96,-3.54,67.83,5.43,0.2331,-0.1601,-0.0979,0.0071,0.3317,-0.1499
2.9244,216.43,-1110.63,79.87,-3.86,66.75,6.61,0.2241,-0.1735,-0.0321,0.0101,0.3334,-0.1527
2.9667,216.14,-1110.53,79.91,-3.59,66.48,7.56,0.2125,-0.1688,0.0288,0.0143,0.3319,-0.1532
3.0084,215.84,-1110.46,80.04,-2.54,66.91,7.89,0.1983,-0.1464,0.0762,0.0193,0.3304,-0.1520
3.0493,215.60,-1110.56,80.07,-1.99,67.06,7.10,0.1876,-0.1074,0.1101,0.0222,0.3275,-0.1497
