time,seconds_elapsed,bpm
1776283632152875776,127.43087601661682,146.0
1776283637152875776,132.43087601661682,148.0
1776283638152875776,133.43087601661682,147.0
1776283643152875776,138.43087601661682,145.0
1776283652152875776,147.43087601661682,135.0
1776283653152875776,148.43087601661682,135.0
1776283658152875776,153.43087601661682,134.0
1776283667152875776,162.43087601661682,120.0
1776283672152875776,167.43087601661682,116.0
1776283674152875776,169.43087601661682,114.0
1776283680152875776,175.43087601661682,114.0
1776283686152875776,181.43087601661682,114.0
1776283688152875776,183.43087601661682,114.0
1776283697152875776,192.43087601661682,104.0
1776283701152875776,196.43087601661682,100.0
1776283703152875776,198.43087601661682,98.0
1776283710152875776,205.43087601661682,99.0
1776283713152875776,208.43087601661682,102.0
1776283718652875776,213.93087601661682,110.0
1776283723652875776,218.93087601661682,119.0
1776283751652875776,246.93087601661682,158.0
1776283753652875776,248.93087601661682,158.0
1776283758652875776,253.93087601661682,151.0
1776283763652875776,258.9308760166168,146.0
1776283768652875776,263.9308760166168,144.0
1776283773652875776,268.9308760166168,140.0
1776283782652875776,277.9308760166168,129.0
1776283783652875776,278.9308760166168,128.0
1776283788652875776,283.9308760166168,126.0
1776283795652875776,290.9308760166168,121.0
1776283802652875776,297.9308760166168,110.0
1776283806652875776,301.9308760166168,107.0
1776283808652875776,303.9308760166168,106.0
1776283813652875776,308.9308760166168,98.0
1776283822652875776,317.9308760166168,95.0
1776283826652875776,321.9308760166168,91.0
1776283829652875776,324.9308760166168,89.0
1776283837652875776,332.9308760166168,91.0
1776283838652875776,333.9308760166168,91.0
1776283843652875776,338.9308760166168,89.0
1776283852652875776,347.9308760166168,87.0
1776283857652875776,352.9308760166168,84.0
1776283860652875776,355.9308760166168,84.0
1776283863652875776,358.9308760166168,84.0
1776283868652875776,363.9308760166168,88.0
1776283873652875776,368.9308760166168,95.0
1776283878652875776,373.9308760166168,99.0
1776283883652875776,378.9308760166168,103.0
1776283921652875776,416.9308760166168,149.0
1776283933652875776,428.9308760166168,134.0
1776283942652875776,437.9308760166168,127.0
1776283944652875776,439.9308760166168,124.0
1776283949652875776,444.9308760166168,124.0
1776283953652875776,448.9308760166168,127.0
1776283974652875776,469.9308760166168,112.0
1776283982652875776,477.9308760166168,125.0
1776283986652875776,481.9308760166168,127.0
1776283988652875776,483.9308760166168,124.0
1776283993652875776,488.9308760166168,117.0
1776283998652875776,493.9308760166168,116.0
1776284003652875776,498.9308760166168,116.0
1776284008652875776,503.9308760166168,116.0
1776284065652875776,560.9308760166168,149.0
1776284071652875776,566.9308760166168,145.0
1776284077652875776,572.9308760166168,143.0
1776284107652875776,602.9308760166168,125.0
1776284109652875776,604.9308760166168,125.0
1776284132652875776,627.9308760166168,115.0
1776284135652875776,630.9308760166168,115.0
1776284138652875776,633.9308760166168,115.0
1776284147652875776,642.9308760166168,116.0
1776284149652875776,644.9308760166168,116.0
1776284153652875776,648.9308760166168,115.0
1776284160652875776,655.9308760166168,114.0
1776284164652875776,659.9308760166168,112.0
1776284172652875776,667.9308760166168,109.0
1776284173652875776,668.9308760166168,110.0
1776284179652875776,674.9308760166168,108.0
1776284183652875776,678.9308760166168,110.0
1776284226652875776,721.9308760166168,151.0
1776284229652875776,724.9308760166168,147.0
1776284237652875776,732.9308760166168,139.0
1776284241652875776,736.9308760166168,137.0
1776284243652875776,738.9308760166168,136.0
1776284251652875776,746.9308760166168,114.0
1776284255652875776,750.9308760166168,111.0
1776284262652875776,757.9308760166168,102.0
1776284265652875776,760.9308760166168,102.0
1776284271652875776,766.9308760166168,99.0
1776284277652875776,772.9308760166168,96.0
1776284278652875776,773.9308760166168,96.0
1776284293652875776,788.9308760166168,109.0
1776284298652875776,793.9308760166168,120.0
1776284362652875776,857.9308760166168,109.0
1776284364652875776,859.9308760166168,109.0
1776284372652875776,867.9308760166168,106.0
1776284373652875776,868.9308760166168,106.0
1776284382652875776,877.9308760166168,106.0
1776284384652875776,879.9308760166168,105.0
1776284388652875776,883.9308760166168,106.0
1776284393652875776,888.9308760166168,110.0
1776284398652875776,893.9308760166168,120.0
1776284424652875776,919.9308760166168,163.0
1776284430652875776,925.9308760166168,155.0
1776284437652875776,932.9308760166168,149.0
1776284440652875776,935.9308760166168,145.0
1776284447652875776,942.9308760166168,135.0
1776284449652875776,944.9308760166168,133.0
1776284454652875776,949.9308760166168,126.0
1776284458652875776,953.9308760166168,124.0
1776284465652875776,960.9308760166168,119.0
1776284471652875776,966.9308760166168,117.0
