time,seconds_elapsed,x,y,z
1776283504823531264,0.1015312671661377,0.2374267578125,-0.194305419921875,-0.96893310546875
1776283504833487360,0.11148738861083984,0.2381744384765625,-0.18304443359375,-0.9559783935546875
1776283504843444224,0.1214442253112793,0.2431640625,-0.172332763671875,-0.94012451171875
1776283504853400320,0.13140034675598145,0.2413787841796875,-0.16851806640625,-0.928253173828125
1776283504863357184,0.141357421875,0.2384185791015625,-0.1642608642578125,-0.9347076416015625
1776283504873313280,0.15131330490112305,0.23150634765625,-0.1574554443359375,-0.9401092529296875
1776283504883270144,0.1612703800201416,0.21624755859375,-0.150726318359375,-0.9443206787109375
1776283504893226240,0.17122626304626465,0.194671630859375,-0.1514129638671875,-0.9485321044921875
1776283504903183104,0.1811833381652832,0.171295166015625,-0.156982421875,-0.95819091796875
1776283504913139200,0.19113922119140625,0.1619873046875,-0.1597900390625,-0.9650726318359375
1776283504923096064,0.2010962963104248,0.1548309326171875,-0.1580963134765625,-0.9646453857421875
1776283504933052416,0.21105241775512695,0.148834228515625,-0.15997314453125,-0.959503173828125
1776283504943009024,0.2210092544555664,0.1509246826171875,-0.1629486083984375,-0.9529266357421875
1776283504952966144,0.23096632957458496,0.1579437255859375,-0.167877197265625,-0.961669921875
1776283504962922240,0.2409224510192871,0.1600799560546875,-0.1675262451171875,-0.971893310546875
1776283504972879104,0.25087928771972656,0.1654052734375,-0.1624908447265625,-0.97381591796875
1776283504982835200,0.2608354091644287,0.17376708984375,-0.1616668701171875,-0.9782562255859375
1776283504992792064,0.27079224586486816,0.18560791015625,-0.1652374267578125,-0.9892730712890625
1776283505002748160,0.2807483673095703,0.1821746826171875,-0.1629791259765625,-0.9935150146484375
1776283505012705280,0.29070544242858887,0.16839599609375,-0.1533966064453125,-0.9676971435546875
1776283505022661120,0.3006613254547119,0.1739044189453125,-0.15606689453125,-0.969482421875
1776283505032618240,0.31061840057373047,0.1764068603515625,-0.158538818359375,-0.987884521484375
1776283505042574080,0.3205742835998535,0.1781768798828125,-0.1626129150390625,-0.994293212890625
1776283505052531200,0.33053135871887207,0.1783905029296875,-0.1602935791015625,-0.98748779296875
1776283505062487040,0.3404872417449951,0.173583984375,-0.157318115234375,-0.9747467041015625
1776283505072444160,0.35044431686401367,0.1700286865234375,-0.1581878662109375,-0.96435546875
1776283505082400256,0.3604004383087158,0.1719818115234375,-0.1617431640625,-0.9529266357421875
1776283505092357120,0.3703572750091553,0.1737060546875,-0.169891357421875,-0.9475250244140625
1776283505102314240,0.38031435012817383,0.1756744384765625,-0.176422119140625,-0.943359375
1776283505112270080,0.3902702331542969,0.177490234375,-0.174713134765625,-0.9493255615234375
1776283505122227200,0.40022730827331543,0.1784210205078125,-0.1671142578125,-0.9573974609375
1776283505132183296,0.4101834297180176,0.176025390625,-0.1564788818359375,-0.9565277099609375
1776283505142140160,0.42014026641845703,0.173919677734375,-0.1510772705078125,-0.9549713134765625
1776283505152096256,0.4300963878631592,0.176239013671875,-0.1555938720703125,-0.951019287109375
1776283505162053120,0.44005322456359863,0.1798248291015625,-0.1588134765625,-0.955352783203125
1776283505172009216,0.4500093460083008,0.1806640625,-0.1602935791015625,-0.9603729248046875
1776283505181966336,0.45996642112731934,0.1743621826171875,-0.1636810302734375,-0.96435546875
1776283505191922176,0.4699223041534424,0.17303466796875,-0.16680908203125,-0.9716796875
1776283505201879296,0.47987937927246094,0.1763153076171875,-0.1607666015625,-0.9746856689453125
1776283505211835136,0.489835262298584,0.180419921875,-0.1527099609375,-0.9850006103515625
1776283505221792256,0.49979233741760254,0.19232177734375,-0.1556243896484375,-0.9820098876953125
1776283505231748096,0.5097482204437256,0.20751953125,-0.1630096435546875,-0.9721527099609375
1776283505241705216,0.5197052955627441,0.21612548828125,-0.168853759765625,-0.9669952392578125
1776283505251662336,0.5296623706817627,0.2093963623046875,-0.17266845703125,-0.962188720703125
1776283505261618176,0.5396182537078857,0.1893463134765625,-0.1748809814453125,-0.9563140869140625
1776283505271575296,0.5495753288269043,0.1624603271484375,-0.1732025146484375,-0.9595947265625
1776283505281531392,0.5595314502716064,0.149383544921875,-0.1633453369140625,-0.9637298583984375
1776283505291488256,0.5694882869720459,0.141143798828125,-0.154754638671875,-0.9547882080078125
1776283505301443840,0.5794439315795898,0.1351776123046875,-0.1556549072265625,-0.9547119140625
1776283505311400960,0.5894010066986084,0.124176025390625,-0.1610260009765625,-0.9649658203125
1776283505321356800,0.5993568897247314,0.1029510498046875,-0.1650543212890625,-0.9741363525390625
1776283505331313920,0.60931396484375,0.0897064208984375,-0.169952392578125,-0.989776611328125
1776283505341269760,0.619269847869873,0.0820465087890625,-0.1829681396484375,-0.9943084716796875
1776283505351226880,0.6292269229888916,0.0804595947265625,-0.20086669921875,-0.9693756103515625
1776283505361182976,0.6391830444335938,0.0767669677734375,-0.219512939453125,-0.9537506103515625
1776283505371139840,0.6491398811340332,0.0685577392578125,-0.2252655029296875,-0.9526214599609375
1776283505381095936,0.6590960025787354,0.044403076171875,-0.231536865234375,-0.94232177734375
1776283505391053056,0.6690530776977539,0.0222015380859375,-0.2477874755859375,-0.9286041259765625
1776283505401009920,0.6790099143981934,0.0123138427734375,-0.2589874267578125,-0.954132080078125
1776283505410966016,0.6889660358428955,-0.0041961669921875,-0.251678466796875,-1.0055389404296875
1776283505420922880,0.698922872543335,-0.0184326171875,-0.242431640625,-1.04638671875
1776283505430878976,0.7088789939880371,-0.0100555419921875,-0.23284912109375,-1.0581817626953125
1776283505440835840,0.7188360691070557,0.0007476806640625,-0.2175445556640625,-1.06494140625
1776283505450791936,0.7287919521331787,0.0108795166015625,-0.2066802978515625,-1.0687103271484375
1776283505460748800,0.7387490272521973,0.0231475830078125,-0.200653076171875,-1.07562255859375
1776283505470704896,0.7487049102783203,0.0203094482421875,-0.2113800048828125,-1.097412109375
1776283505480661760,0.7586619853973389,0.0035552978515625,-0.2361602783203125,-1.1158905029296875
1776283505490617856,0.7686178684234619,-0.0144500732421875,-0.263763427734375,-1.102813720703125
1776283505500574720,0.7785749435424805,-0.042144775390625,-0.295196533203125,-1.050323486328125
1776283505510531072,0.7885310649871826,-0.0561676025390625,-0.3376312255859375,-0.9903411865234375
1776283505520487680,0.7984879016876221,-0.076416015625,-0.3792724609375,-0.93084716796875
1776283505530444032,0.8084440231323242,-0.0721282958984375,-0.42230224609375,-0.871917724609375
1776283505540400640,0.8184008598327637,-0.055999755859375,-0.444122314453125,-0.8490142822265625
1776283505550357760,0.8283579349517822,-0.097137451171875,-0.453277587890625,-0.870147705078125
1776283505560313856,0.8383140563964844,-0.16259765625,-0.462921142578125,-0.9495697021484375
1776283505570270720,0.8482708930969238,-0.2030487060546875,-0.4568634033203125,-1.0453643798828125
1776283505580226816,0.858227014541626,-0.20123291015625,-0.439056396484375,-1.1470794677734375
1776283505590183680,0.8681838512420654,-0.18658447265625,-0.4315338134765625,-1.2505645751953125
1776283505600139776,0.8781399726867676,-0.1809844970703125,-0.44793701171875,-1.342041015625
1776283505610096896,0.8880970478057861,-0.1427154541015625,-0.471343994140625,-1.380126953125
1776283505620052736,0.8980529308319092,-0.0747222900390625,-0.5103302001953125,-1.371307373046875
1776283505630009856,0.9080100059509277,-0.05316162109375,-0.569000244140625,-1.3272247314453125
1776283505639965696,0.9179658889770508,-0.0307769775390625,-0.63134765625,-1.2242584228515625
1776283505649922816,0.9279229640960693,0.0117645263671875,-0.6665191650390625,-1.0768585205078125
1776283505659878656,0.9378788471221924,0.0694580078125,-0.6620635986328125,-0.9473724365234375
1776283505669835776,0.9478359222412109,0.1445770263671875,-0.637176513671875,-0.86541748046875
1776283505679792896,0.9577929973602295,0.2502288818359375,-0.5701446533203125,-0.784698486328125
1776283505689748736,0.9677488803863525,0.3302764892578125,-0.4730224609375,-0.70263671875
1776283505699705856,0.9777059555053711,0.3719024658203125,-0.3902130126953125,-0.665679931640625
1776283505709661952,0.9876620769500732,0.38946533203125,-0.338104248046875,-0.631866455078125
1776283505719618816,0.9976189136505127,0.359344482421875,-0.3069305419921875,-0.58251953125
1776283505729574912,1.0075750350952148,0.319000244140625,-0.31439208984375,-0.555328369140625
1776283505739531776,1.0175318717956543,0.3223724365234375,-0.3514556884765625,-0.5513916015625
1776283505749487872,1.0274879932403564,0.35113525390625,-0.34686279296875,-0.536529541015625
1776283505759444992,1.037445068359375,0.3840179443359375,-0.3103485107421875,-0.51739501953125
1776283505769400832,1.047400951385498,0.3973236083984375,-0.2667999267578125,-0.5234527587890625
1776283505779357952,1.0573580265045166,0.368438720703125,-0.2257232666015625,-0.533172607421875
1776283505789313792,1.0673139095306396,0.3058624267578125,-0.19451904296875,-0.5233917236328125
1776283505799270912,1.0772709846496582,0.253814697265625,-0.174896240234375,-0.5034637451171875
1776283505809228032,1.0872280597686768,0.209930419921875,-0.1729888916015625,-0.479034423828125
1776283505819183872,1.0971839427947998,0.1656036376953125,-0.1786651611328125,-0.457977294921875
1776283505829140992,1.1071410179138184,0.128662109375,-0.183990478515625,-0.474365234375
1776283505839096832,1.1170969009399414,0.074554443359375,-0.2061004638671875,-0.5162200927734375
1776283505849053952,1.12705397605896,0.001953125,-0.2403106689453125,-0.5537872314453125
1776283505859009792,1.137009859085083,-0.07421875,-0.2650604248046875,-0.5768280029296875
1776283505868966912,1.1469669342041016,-0.13409423828125,-0.2864227294921875,-0.599853515625
1776283505878923008,1.1569230556488037,-0.1735076904296875,-0.30364990234375,-0.62945556640625
1776283505888879872,1.1668798923492432,-0.20416259765625,-0.316253662109375,-0.6909637451171875
1776283505898835968,1.1768360137939453,-0.2308349609375,-0.3311614990234375,-0.7987060546875
1776283505908792832,1.1867928504943848,-0.2436065673828125,-0.3369293212890625,-0.9227294921875
1776283505918748928,1.196748971939087,-0.24359130859375,-0.3350982666015625,-1.0105133056640625
1776283505928706048,1.2067060470581055,-0.2364349365234375,-0.331207275390625,-1.0713348388671875
1776283505938661888,1.2166619300842285,-0.2158660888671875,-0.3240814208984375,-1.1207733154296875
1776283505948619008,1.226619005203247,-0.179168701171875,-0.32183837890625,-1.15948486328125
1776283505958575872,1.2365760803222656,-0.1548919677734375,-0.3300323486328125,-1.2839813232421875
1776283505968531968,1.2465319633483887,-0.1478729248046875,-0.3245086669921875,-1.0948638916015625
1776283505978488832,1.2564890384674072,-0.1010894775390625,-0.324493408203125,-0.981201171875
1776283505988444928,1.2664449214935303,-0.14862060546875,-0.353851318359375,-0.9826507568359375
1776283505998401792,1.2764019966125488,-0.132354736328125,-0.446136474609375,-0.89764404296875
1776283506008357888,1.2863578796386719,-0.077972412109375,-0.51812744140625,-0.8332366943359375
1776283506018314752,1.2963149547576904,-0.0963592529296875,-0.4602813720703125,-0.712249755859375
1776283506028270848,1.3062710762023926,-0.2811737060546875,-0.46588134765625,-0.9129486083984375
1776283506038227712,1.316227912902832,-0.533721923828125,-0.5532379150390625,-1.43353271484375
1776283506048183808,1.3261840343475342,-0.58038330078125,-0.5121002197265625,-1.732940673828125
1776283506058140672,1.3361408710479736,-0.5163116455078125,-0.3344573974609375,-1.7303924560546875
1776283506068096768,1.3460969924926758,-0.3878326416015625,-0.1836090087890625,-1.672119140625
1776283506078053888,1.3560540676116943,-0.2635955810546875,-0.0605010986328125,-1.4422149658203125
1776283506088010752,1.3660109043121338,-0.1573486328125,-0.0386199951171875,-1.0744171142578125
1776283506097966848,1.375967025756836,-0.0551910400390625,-0.0977935791015625,-0.8089599609375
1776283506107923712,1.3859238624572754,0.004547119140625,-0.1508941650390625,-0.6561737060546875
1776283506117879808,1.3958799839019775,0.036041259765625,-0.148468017578125,-0.6280059814453125
1776283506127836928,1.405837059020996,0.017364501953125,-0.1079254150390625,-0.71380615234375
