time,seconds_elapsed,x,y,z
1776984421202061056,0.1510608196258545,-0.08721923828125,0.0229949951171875,-1.054962158203125
1776984421212017152,0.16101694107055664,-0.1409149169921875,-0.0036468505859375,-1.071868896484375
1776984421221972992,0.1709728240966797,-0.1705474853515625,-0.029296875,-1.1181488037109375
1776984421231930112,0.18092989921569824,-0.1920318603515625,-0.0343780517578125,-1.1552581787109375
1776984421241885952,0.1908857822418213,-0.1983184814453125,-0.01422119140625,-1.1529083251953125
1776984421251843072,0.20084285736083984,-0.192779541015625,0.0106964111328125,-1.1124725341796875
1776984421261799168,0.210798978805542,-0.1501922607421875,0.05120849609375,-1.0757598876953125
1776984421271755008,0.22075486183166504,-0.1017608642578125,0.0885009765625,-1.046966552734375
1776984421281712128,0.2307119369506836,-0.072967529296875,0.1084442138671875,-1.0222320556640625
1776984421291667968,0.24066781997680664,-0.060821533203125,0.109344482421875,-0.9802703857421875
1776984421301624064,0.2506239414215088,-0.0683441162109375,0.077484130859375,-0.9279937744140625
1776984421311580928,0.26058077812194824,-0.08258056640625,0.049407958984375,-0.9106597900390625
1776984421321537024,0.2705368995666504,-0.0877532958984375,0.045989990234375,-0.9620361328125
1776984421331494144,0.28049397468566895,-0.0873870849609375,0.063140869140625,-1.0135955810546875
1776984421341449984,0.290449857711792,-0.080474853515625,0.100250244140625,-1.028228759765625
1776984421351406080,0.30040597915649414,-0.076690673828125,0.1364593505859375,-1.0308990478515625
1776984421361362944,0.3103628158569336,-0.088470458984375,0.156036376953125,-1.030914306640625
1776984421371319040,0.32031893730163574,-0.0910797119140625,0.1546783447265625,-0.9930572509765625
1776984421381275904,0.3302757740020752,-0.12628173828125,0.147979736328125,-0.952606201171875
1776984421391232000,0.34023189544677734,-0.1661834716796875,0.1417083740234375,-0.9347686767578125
1776984421401187840,0.3501877784729004,-0.1842498779296875,0.1383819580078125,-0.963470458984375
1776984421411144960,0.36014485359191895,-0.17852783203125,0.1490325927734375,-1.0133209228515625
1776984421421101056,0.3701009750366211,-0.1790008544921875,0.17645263671875,-1.0317840576171875
1776984421431058432,0.38005828857421875,-0.1822509765625,0.208526611328125,-1.0176239013671875
1776984421441014528,0.3900144100189209,-0.1776580810546875,0.2158355712890625,-0.9717559814453125
1776984421450970368,0.39997029304504395,-0.16339111328125,0.193145751953125,-0.9265289306640625
1776984421460927488,0.4099273681640625,-0.1454010009765625,0.1717987060546875,-0.9276275634765625
1776984421470883584,0.41988348960876465,-0.1536712646484375,0.1735687255859375,-0.9693756103515625
1776984421480840448,0.4298403263092041,-0.11163330078125,0.2011260986328125,-0.964080810546875
1776984421490796544,0.43979644775390625,-0.0847625732421875,0.230987548828125,-0.9683380126953125
1776984421500752384,0.4497523307800293,-0.0467376708984375,0.2426605224609375,-1.00335693359375
1776984421510709504,0.45970940589904785,-0.03094482421875,0.2363433837890625,-0.9986114501953125
1776984421520665344,0.4696652889251709,-0.0569610595703125,0.239532470703125,-0.966461181640625
1776984421530622464,0.47962236404418945,-0.088531494140625,0.258514404296875,-0.96685791015625
1776984421540578560,0.4895784854888916,-0.0988616943359375,0.291259765625,-0.9734344482421875
1776984421550534400,0.49953436851501465,-0.0641632080078125,0.2979583740234375,-0.93914794921875
1776984421560491520,0.5094914436340332,-0.05218505859375,0.2755126953125,-0.912139892578125
1776984421570447360,0.5194473266601562,-0.0740203857421875,0.2454376220703125,-0.9014739990234375
1776984421580404480,0.5294044017791748,-0.101806640625,0.2398529052734375,-0.8867950439453125
1776984421590360320,0.5393602848052979,-0.2102203369140625,0.2516021728515625,-0.9436492919921875
1776984421600316416,0.54931640625,-0.2097930908203125,0.2750396728515625,-0.986083984375
1776984421610273536,0.5592734813690186,-0.173065185546875,0.258941650390625,-1.00360107421875
1776984421620229376,0.5692293643951416,-0.1834869384765625,0.1695098876953125,-0.9563446044921875
1776984421630186496,0.5791864395141602,-0.2550048828125,0.1021881103515625,-0.9211273193359375
1776984421640142336,0.5891423225402832,-0.2663726806640625,0.1243896484375,-0.891632080078125
1776984421650098688,0.5990984439849854,-0.2618560791015625,0.1910400390625,-0.9434661865234375
1776984421660055296,0.6090552806854248,-0.2207794189453125,0.244598388671875,-0.9678802490234375
1776984421670011648,0.619011402130127,-0.163299560546875,0.250457763671875,-0.95025634765625
1776984421679968512,0.6289684772491455,-0.174285888671875,0.2625885009765625,-0.9468994140625
1776984421689924352,0.6389243602752686,-0.1735076904296875,0.253448486328125,-0.9321441650390625
1776984421699880704,0.6488804817199707,-0.1863250732421875,0.2250518798828125,-0.941925048828125
1776984421709837312,0.6588373184204102,-0.2212066650390625,0.237945556640625,-0.9852752685546875
1776984421719793664,0.6687934398651123,-0.2088775634765625,0.2472686767578125,-0.9915313720703125
1776984421729750272,0.6787502765655518,-0.1871185302734375,0.236968994140625,-0.9562225341796875
1776984421739706624,0.6887063980102539,-0.1705780029296875,0.243743896484375,-0.9431915283203125
1776984421749662464,0.698662281036377,-0.1667633056640625,0.2689056396484375,-0.9709014892578125
1776984421759619584,0.7086193561553955,-0.1624755859375,0.272430419921875,-0.958984375
1776984421769575680,0.7185754776000977,-0.1399383544921875,0.265380859375,-0.9445037841796875
1776984421779532544,0.7285323143005371,-0.1874542236328125,0.2515716552734375,-0.996185302734375
1776984421789488640,0.7384884357452393,-0.20526123046875,0.231964111328125,-1.0616302490234375
1776984421799444480,0.7484443187713623,-0.25726318359375,0.21685791015625,-1.0730438232421875
1776984421809401600,0.7584013938903809,-0.2736968994140625,0.2095947265625,-1.070465087890625
1776984421819357440,0.7683572769165039,-0.2622528076171875,0.2472076416015625,-1.0435638427734375
1776984421829314560,0.7783143520355225,-0.2020416259765625,0.2234649658203125,-0.905548095703125
1776984421839270656,0.7882704734802246,-0.2267913818359375,0.2166290283203125,-0.917022705078125
1776984421849226496,0.7982263565063477,-0.1857757568359375,0.23577880859375,-0.9263153076171875
1776984421859183616,0.8081834316253662,-0.1870269775390625,0.203369140625,-0.9325103759765625
1776984421869139456,0.8181393146514893,-0.2048187255859375,0.1850738525390625,-0.9527435302734375
