time,seconds_elapsed,bpm
1776984499753309952,78.70230984687805,80.0
1776984502753309952,81.70230984687805,80.0
1776984505753309952,84.70230984687805,82.0
1776984510753309952,89.70230984687805,83.0
1776984515753309952,94.70230984687805,81.0
1776984520753309952,99.70230984687805,80.0
1776984525753309952,104.70230984687805,84.0
1776984564753309952,143.70230984687805,124.0
1776984567753309952,146.70230984687805,124.0
1776984570753309952,149.70230984687805,121.0
1776984578753309952,157.70230984687805,108.0
1776984583753309952,162.70230984687805,107.0
1776984586753309952,165.70230984687805,110.0
1776984591753309952,170.70230984687805,110.0
1776984595753309952,174.70230984687805,109.0
1776984600753309952,179.70230984687805,114.0
1776984605753309952,184.70230984687805,118.0
1776984613753309952,192.70230984687805,126.0
1776984642753309952,221.70230984687805,160.0
1776984647753309952,226.70230984687805,153.0
1776984654753309952,233.70230984687805,137.0
1776984657753309952,236.70230984687805,133.0
1776984661753309952,240.70230984687805,126.0
1776984668753309952,247.70230984687805,121.0
1776984672753309952,251.70230984687805,120.0
1776984675753309952,254.70230984687805,119.0
1776984680753309952,259.70230984687805,118.0
1776984689753309952,268.70230984687805,112.0
1776984690753309952,269.70230984687805,112.0
1776984695753309952,274.70230984687805,112.0
1776984704753309952,283.70230984687805,108.0
1776984709753309952,288.70230984687805,105.0
1776984710753309952,289.70230984687805,105.0
1776984715753309952,294.70230984687805,103.0
1776984720753309952,299.70230984687805,113.0
1776984725753309952,304.70230984687805,125.0
1776984749753309952,328.70230984687805,157.0
1776984751753309952,330.70230984687805,165.0
1776984758753309952,337.70230984687805,154.0
1776984764753309952,343.70230984687805,145.0
1776984765753309952,344.70230984687805,144.0
1776984770753309952,349.70230984687805,141.0
1776984779753309952,358.70230984687805,120.0
1776984782753309952,361.70230984687805,117.0
1776984785753309952,364.70230984687805,119.0
1776984794753309952,373.70230984687805,117.0
1776984799753309952,378.70230984687805,115.0
1776984800753309952,379.70230984687805,114.0
1776984806753309952,385.70230984687805,113.0
1776984810753309952,389.70230984687805,116.0
1776984815753309952,394.70230984687805,124.0
1776984822753309952,401.70230984687805,131.0
1776984841753309952,420.70230984687805,157.0
1776984849753309952,428.70230984687805,165.0
1776984854753309952,433.70230984687805,166.0
1776984857753309952,436.70230984687805,162.0
1776984860753309952,439.70230984687805,160.0
1776984869753309952,448.70230984687805,141.0
1776984874753309952,453.70230984687805,136.0
1776984878753309952,457.70230984687805,132.0
1776984880753309952,459.70230984687805,130.0
1776984886753309952,465.70230984687805,126.0
1776984890753309952,469.70230984687805,125.0
1776984895753309952,474.70230984687805,124.0
1776984904753309952,483.70230984687805,122.0
1776984909753309952,488.70230984687805,122.0
1776984912753309952,491.70230984687805,121.0
1776984918753309952,497.70230984687805,119.0
1776984921753309952,500.70230984687805,119.0
1776984925753309952,504.70230984687805,120.0
1776984930753309952,509.70230984687805,124.0
1776984935753309952,514.702309846878,135.0
1776984946753309952,525.702309846878,149.0
1776984954753309952,533.702309846878,171.0
1776984956753309952,535.702309846878,171.0
1776984962753309952,541.702309846878,164.0
1776984966753309952,545.702309846878,159.0
1776984974753309952,553.702309846878,145.0
1776984978753309952,557.702309846878,140.0
1776984982753309952,561.702309846878,136.0
1776984985753309952,564.702309846878,133.0
1776984991753309952,570.702309846878,128.0
1776984996753309952,575.702309846878,124.0
1776985000753309952,579.702309846878,120.0
1776985005753309952,584.702309846878,118.0
1776985014753309952,593.702309846878,112.0
1776985019753309952,598.702309846878,109.0
1776985021753309952,600.702309846878,110.0
1776985025753309952,604.702309846878,112.0
1776985030753309952,609.702309846878,115.0
1776985035753309952,614.702309846878,123.0
1776985040753309952,619.702309846878,132.0
1776985059753309952,638.702309846878,169.0
1776985064753309952,643.702309846878,163.0
1776985066753309952,645.702309846878,161.0
1776985073753309952,652.702309846878,150.0
1776985079753309952,658.702309846878,142.0
1776985081753309952,660.702309846878,140.0
1776985085749985024,664.6989848613739,137.0
1776985090749985024,669.6989848613739,136.0
1776985099749985024,678.6989848613739,123.0
1776985100749985024,679.6989848613739,123.0
1776985108749985024,687.6989848613739,121.0
1776985114749985024,693.6989848613739,116.0
1776985119749985024,698.6989848613739,115.0
1776985124749985024,703.6989848613739,114.0
1776985125749985024,704.6989848613739,114.0
1776985130749985024,709.6989848613739,115.0
1776985137749985024,716.6989848613739,114.0
1776985144749985024,723.6989848613739,113.0
1776985148749985024,727.6989848613739,113.0
1776985154749985024,733.6989848613739,109.0
1776985155749985024,734.6989848613739,109.0
1776985160749985024,739.6989848613739,112.0
