time,seconds_elapsed,latitude,longitude,ellipsoidalAltitude,altitude,course,speed,verticalAccuracy,horizontalAccuracy,speedAccuracy,courseAccuracy
1776983821045990912,-600.0050091743469,33.77541296096862,-84.4034631001714,272.39079193115236,302.8007917785645,-1.0,-1.0,30.0,32.50420791672906,-1.0,-1.0
1776983843545990912,-577.5050091743469,33.77541296096862,-84.4034631001714,272.39079193115236,302.8007917785645,-1.0,-1.0,30.0,32.50420791672906,-1.0,-1.0
1776984093923046656,-327.1279535293579,33.77542625266064,-84.40363901226823,0.0,302.584687216647,-1.0,-1.0,117.73769942411437,143.495014,-1.0,-1.0
1776984421756905984,0.7059059143066406,33.7752855097245,-84.40370805516648,270.2974584415847,300.7074582889968,-1.0,-1.0,30.0,38.9205508619975,-1.0,-1.0
1776984428779561984,7.728561878204346,33.7752855097245,-84.40370805516648,254.16042482125653,284.57042466866864,-1.0,-1.0,26.460000000000015,38.9205508619975,-1.0,-1.0
1776984435177442048,14.126441955566406,33.7752855097245,-84.40370805516648,254.11630384993128,284.5263036973434,-1.0,-1.0,25.04400000000002,38.9205508619975,-1.0,-1.0
1776984441381692928,20.330692768096924,33.775392297584695,-84.40351705418594,254.11282952573026,284.5228293731424,-1.0,-1.0,28.01760000000001,32.623793620862976,-1.0,-1.0
1776984447736613120,26.68561291694641,33.77535792134539,-84.40356063326753,253.49752582103844,283.90752566845055,-1.0,-1.0,12.881774910103312,28.598570955809414,-1.0,-1.0
1776984454020046080,32.969045877456665,33.7752855097245,-84.40370805516648,253.51214711812463,283.92214696553674,-1.0,-1.0,19.61270996404134,38.9205508619975,-1.0,-1.0
1776984460248015872,39.1970157623291,33.7752855097245,-84.40370805516648,253.55499588854758,283.9649957359597,-1.0,-1.0,22.305083985616548,38.9205508619975,-1.0,-1.0
1776984464549767936,43.4987678527832,33.7752855097245,-84.40370805516648,254.90409983745747,285.3140996848696,-1.0,-1.0,26.92203359424662,38.9205508619975,-1.0,-1.0
1776984477020864000,55.96986389160156,33.7752855097245,-84.40370805516648,271.3897259537567,301.7997258011688,-1.0,-1.0,28.76881343769865,38.9205508619975,-1.0,-1.0
1776984478260779008,57.209778785705566,33.7752855097245,-84.40370805516648,271.3897259537567,301.7997258011688,-1.0,-1.0,29.50752537507946,38.9205508619975,-1.0,-1.0
1776984481367320064,60.316319942474365,33.7752855097245,-84.40370805516648,271.3897259537567,301.7997258011688,-1.0,-1.0,29.803010150031785,38.9205508619975,-1.0,-1.0
1776984509034226944,87.98322677612305,33.7752855097245,-84.40370805516648,253.6127698772247,284.0227697246368,-1.0,-1.0,13.595938970116022,38.9205508619975,-1.0,-1.0
1776984515417652224,94.36665201187134,33.77532143859774,-84.4036052585684,253.16548539558949,283.5754852430016,-1.0,-1.0,9.338375588046409,36.74932935579237,-1.0,-1.0
1776984519361588992,98.31058883666992,33.7752855097245,-84.40370805516648,253.16548539558949,283.5754852430016,-1.0,-1.0,7.635350235218564,38.9205508619975,-1.0,-1.0
1776984549802410240,128.7514100074768,33.7752855097245,-84.40370805516648,253.06042532481575,283.47042517222786,-1.0,-1.0,21.054140094087426,38.9205508619975,-1.0,-1.0
1776984553317569024,132.26656889915466,33.77533635854997,-84.40358247356227,253.06042532481575,283.47042517222786,-1.0,-1.0,26.42165603763497,33.602375121957834,-1.0,-1.0
1776984559707622912,138.65662288665771,33.7752855097245,-84.40370805516648,268.84074578273095,299.25074563014306,-1.0,-1.0,28.56866241505399,38.9205508619975,-1.0,-1.0
1776984563570857984,142.51985788345337,33.7752855097245,-84.40370805516648,268.84074578273095,299.25074563014306,-1.0,-1.0,29.427464966021596,38.9205508619975,-1.0,-1.0
1776984569803250944,148.7522509098053,33.7752855097245,-84.40370805516648,272.10080909729004,302.51080894470215,-1.0,-1.0,29.77098598640864,38.9205508619975,-1.0,-1.0
1776984572685227008,151.63422679901123,33.7752855097245,-84.40370805516648,272.10080909729004,302.51080894470215,-1.0,-1.0,29.908394394563455,38.9205508619975,-1.0,-1.0
1776984579029076992,157.97807693481445,33.77541615547479,-84.40347649336606,272.10079193115234,302.51079177856445,-1.0,-1.0,29.96335775782538,35.865732015164674,-1.0,-1.0
1776984585399667968,164.34866786003113,33.7752855097245,-84.40370805516648,253.56610600252372,283.97610584993583,-1.0,-1.0,13.963808627970307,38.9205508619975,-1.0,-1.0
1776984604198936832,183.1479368209839,33.7752855097245,-84.40370805516648,253.25164739094055,283.66164723835266,-1.0,-1.0,8.939341237244482,38.9205508619975,-1.0,-1.0
1776984610562364160,189.5113639831543,33.7752855097245,-84.40370805516648,253.62915319870234,284.03915304611445,-1.0,-1.0,5.5844070180182825,38.9205508619975,-1.0,-1.0
