ArmSpan,149.12
Timestamp,HeadX,HeadY,HeadZ,HeadPitch,HeadYaw,HeadRoll,LeftX_norm,LeftY_norm,LeftZ_norm,RightX_norm,RightY_norm,RightZ_norm
0.0412,261.76,-1117.95,80.52,0.03,95.75,-3.95,0.0755,0.2986,-0.1080,-0.0711,0.3043,-0.1039
0.0830,261.86,-1117.86,80.55,0.02,95.79,-4.39,0.0728,0.2979,-0.1088,-0.0703,0.3044,-0.1067
0.1253,261.95,-1117.71,80.62,0.01,95.75,-4.78,0.0706,0.2975,-0.1101,-0.0704,0.3041,-0.1094
0.1667,262.03,-1117.54,80.66,-0.03,95.72,-4.92,0.0689,0.2969,-0.1116,-0.0701,0.3036,-0.1124
0.2087,262.10,-1117.34,80.71,-0.13,95.87,-5.24,0.0671,0.2963,-0.1145,-0.0704,0.3025,-0.1159
0.2501,262.18,-1117.11,80.74,-0.24,95.96,-5.53,0.0652,0.2955,-0.1173,-0.0709,0.3012,-0.1189
0.2919,262.23,-1116.88,80.74,-0.48,95.95,-5.78,0.0634,0.2952,-0.1199,-0.0710,0.2997,-0.1217
0.3341,262.24,-1116.66,80.69,-0.97,95.93,-5.86,0.0624,0.2950,-0.1224,-0.0717,0.2984,-0.1244
0.3760,262.26,-1116.42,80.65,-1.66,95.93,-5.53,0.0623,0.2948,-0.1258,-0.0736,0.2976,-0.1281
0.4176,262.26,-1116.15,80.63,-2.10,95.78,-5.34,0.0630,0.2946,-0.1297,-0.0760,0.2968,-0.1327
0.4595,262.30,-1115.87,80.65,-2.38,95.66,-4.93,0.0632,0.2946,-0.1340,-0.0785,0.2963,-0.1376
0.5012,262.33,-1115.56,80.69,-2.44,95.47,-4.70,0.0627,0.2934,-0.1381,-0.0798,0.2961,-0.1428
0.5429,262.35,-1115.24,80.70,-2.67,95.36,-4.46,0.0621,0.2927,-0.1409,-0.0792,0.2955,-0.1480
0.5847,262.35,-1114.89,80.75,-2.84,95.41,-4.46,0.0614,0.2927,-0.1445,-0.0787,0.2949,-0.1530
0.6267,262.37,-1114.48,80.79,-2.99,95.51,-4.68,0.0612,0.2916,-0.1489,-0.0784,0.2940,-0.1576
0.6685,262.42,-1114.00,80.80,-3.18,95.64,-4.87,0.0613,0.2900,-0.1526,-0.0785,0.2926,-0.1606
0.7100,262.45,-1113.50,80.77,-3.50,95.90,-5.34,0.0612,0.2885,-0.1551,-0.0777,0.2913,-0.1613
0.7519,262.48,-1113.02,80.68,-4.10,96.23,-5.74,0.0597,0.2873,-0.1567,-0.0772,0.2898,-0.1609
0.7940,262.53,-1112.51,80.60,-4.58,96.92,-6.36,0.0588,0.2857,-0.1579,-0.0770,0.2868,-0.1609
0.8357,262.65,-1112.05,80.51,-5.19,97.79,-7.26,0.0576,0.2844,-0.1593,-0.0785,0.2801,-0.1624
0.8775,262.90,-1111.64,80.37,-5.88,99.36,-7.61,0.0560,0.2833,-0.1599,-0.0837,0.2669,-0.1660
0.9187,263.23,-1111.25,80.27,-6.39,101.32,-8.30,0.0544,0.2832,-0.1607,-0.0963,0.2462,-0.1727
0.9600,263.69,-1110.84,80.23,-6.21,103.15,-9.40,0.0518,0.2841,-0.1609,-0.1183,0.2195,-0.1808
1.0019,264.21,-1110.39,80.22,-5.75,105.08,-10.24,0.0493,0.2848,-0.1602,-0.1496,0.1867,-0.1857
1.0440,264.73,-1109.87,80.23,-5.08,107.31,-11.20,0.0472,0.2850,-0.1587,-0.1897,0.1517,-0.1836
1.0855,265.30,-1109.24,80.21,-4.38,109.25,-12.24,0.0455,0.2855,-0.1570,-0.2341,0.1145,-0.1724
1.1274,265.83,-1108.49,80.20,-3.74,111.12,-13.62,0.0441,0.2851,-0.1559,-0.2779,0.0722,-0.1465
1.1688,266.33,-1107.69,80.15,-3.04,112.69,-14.61,0.0426,0.2845,-0.1555,-0.3102,0.0250,-0.1077
1.2108,266.73,-1106.94,80.15,-2.34,114.27,-15.82,0.0413,0.2839,-0.1562,-0.3239,-0.0191,-0.0616
1.2528,267.08,-1106.21,80.09,-1.38,115.52,-17.06,0.0399,0.2828,-0.1563,-0.3207,-0.0548,-0.0137
1.2946,267.42,-1105.71,79.94,-1.05,116.85,-17.53,0.0374,0.2831,-0.1557,-0.3050,-0.0716,0.0352
1.3361,267.72,-1105.33,79.79,-0.92,117.41,-18.55,0.0344,0.2837,-0.1548,-0.2803,-0.0692,0.0795
1.3778,268.00,-1105.03,79.68,-0.77,117.19,-19.20,0.0306,0.2832,-0.1537,-0.2518,-0.0509,0.1126
1.4192,268.26,-1104.90,79.57,-0.80,116.34,-19.67,0.0266,0.2824,-0.1521,-0.2260,-0.0213,0.1373
1.4609,268.49,-1104.88,79.44,-0.99,115.33,-19.88,0.0223,0.2807,-0.1504,-0.2030,0.0219,0.1487
1.5033,268.63,-1104.96,79.33,-1.54,113.86,-20.11,0.0189,0.2772,-0.1489,-0.1824,0.0691,0.1449
1.5447,268.77,-1105.01,79.24,-1.99,112.11,-19.82,0.0156,0.2724,-0.1483,-0.1655,0.1154,0.1289
1.5863,268.82,-1105.17,79.10,-2.88,110.33,-19.50,0.0134,0.2680,-0.1488,-0.1495,0.1634,0.1051
1.6279,268.80,-1105.27,78.95,-4.15,108.29,-19.15,0.0127,0.2633,-0.1509,-0.1341,0.2047,0.0709
1.6698,268.76,-1105.26,78.78,-5.44,105.58,-17.89,0.0119,0.2571,-0.1549,-0.1159,0.2355,0.0364
1.7121,268.72,-1105.11,78.59,-6.86,102.27,-16.31,0.0135,0.2480,-0.1598,-0.0937,0.2585,-0.0004
1.7538,268.65,-1104.76,78.44,-8.33,98.21,-14.45,0.0175,0.2370,-0.1675,-0.0749,0.2679,-0.0352
1.7957,268.37,-1104.40,78.13,-9.98,94.08,-12.37,0.0253,0.2245,-0.1771,-0.0574,0.2762,-0.0661
1.8373,268.07,-1103.85,77.98,-11.76,89.34,-9.80,0.0359,0.2098,-0.1909,-0.0484,0.2828,-0.0950
1.8790,267.53,-1103.28,77.66,-13.20,85.37,-6.16,0.0520,0.1906,-0.2059,-0.0397,0.2878,-0.1212
1.9209,266.93,-1102.53,77.49,-14.16,81.05,-3.10,0.0751,0.1655,-0.2209,-0.0318,0.2889,-0.1412
1.9632,266.20,-1101.79,77.19,-14.92,77.53,0.49,0.1008,0.1343,-0.2348,-0.0218,0.2903,-0.1568
2.0051,265.43,-1100.87,76.92,-15.47,74.54,2.49,0.1320,0.0925,-0.2424,-0.0163,0.2898,-0.1672
2.0463,264.68,-1099.98,76.58,-15.87,72.25,5.18,0.1617,0.0490,-0.2453,-0.0112,0.2907,-0.1754
2.0885,264.00,-1098.97,76.24,-16.32,70.21,7.29,0.1893,-0.0011,-0.2374,-0.0093,0.2901,-0.1812
2.1300,263.41,-1098.05,75.91,-16.55,68.39,10.41,0.2105,-0.0491,-0.2218,-0.0086,0.2903,-0.1863
2.1717,262.83,-1097.09,75.53,-16.89,67.15,12.22,0.2291,-0.0941,-0.1953,-0.0099,0.2891,-0.1901
2.2136,262.39,-1096.28,75.17,-17.45,66.26,14.75,0.2405,-0.1310,-0.1573,-0.0112,0.2883,-0.1945
2.2549,262.02,-1095.50,74.87,-17.89,65.77,16.69,0.2501,-0.1588,-0.1128,-0.0140,0.2860,-0.1988
2.2967,261.73,-1094.96,74.67,-17.98,65.21,18.47,0.2521,-0.1743,-0.0613,-0.0166,0.2846,-0.2038
2.3388,261.41,-1094.43,74.52,-17.85,64.77,19.54,0.2484,-0.1818,-0.0078,-0.0198,0.2814,-0.2077
2.3805,261.10,-1094.09,74.39,-17.73,64.66,20.47,0.2415,-0.1813,0.0449,-0.0217,0.2799,-0.2113
2.4223,260.73,-1093.81,74.27,-17.60,64.78,20.81,0.2315,-0.1742,0.0901,-0.0243,0.2775,-0.2127
2.4640,260.32,-1093.69,74.20,-17.63,64.91,21.04,0.2184,-0.1566,0.1253,-0.0241,0.2763,-0.2139
2.5054,259.84,-1093.76,74.13,-17.77,65.13,21.21,0.2098,-0.1270,0.1511,-0.0227,0.2741,-0.2126
2.5478,259.27,-1093.93,74.10,-18.16,65.89,21.30,0.2018,-0.0887,0.1659,-0.0190,0.2718,-0.2096
2.5893,258.68,-1094.21,74.15,-18.27,67.14,20.69,0.1933,-0.0467,0.1674,-0.0145,0.2683,-0.2052
2.6312,258.06,-1094.61,74.23,-18.30,68.69,20.26,0.1871,-0.0018,0.1624,-0.0087,0.2647,-0.1997
2.6733,257.43,-1095.09,74.39,-18.43,70.88,19.70,0.1811,0.0446,0.1489,-0.0021,0.2603,-0.1952
2.7145,256.82,-1095.75,74.62,-18.59,73.55,18.87,0.1744,0.0915,0.1276,0.0034,0.2564,-0.1920
2.7563,256.32,-1096.31,74.95,-18.32,76.65,17.70,0.1669,0.1375,0.0995,0.0078,0.2520,-0.1906
2.7982,255.88,-1096.95,75.28,-17.97,80.70,16.55,0.1575,0.1759,0.0639,0.0094,0.2483,-0.1896
2.8403,255.62,-1097.46,75.66,-17.48,85.15,15.17,0.1470,0.2041,0.0295,0.0089,0.2430,-0.1889
2.8819,255.43,-1097.98,75.99,-17.30,90.19,12.98,0.1329,0.2285,-0.0050,0.0073,0.2386,-0.1884
2.9236,255.40,-1098.37,76.29,-17.05,95.86,9.77,0.1168,0.2469,-0.0426,0.0031,0.2334,-0.1890
2.9652,255.56,-1098.68,76.56,-17.08,101.79,6.47,0.1047,0.2592,-0.0765,-0.0057,0.2273,-0.1917
3.0074,255.77,-1098.94,76.72,-16.64,108.47,2.03,0.0957,0.2707,-0.1054,-0.0174,0.2207,-0.1961
3.0495,256.07,-1099.12,76.96,-15.86,115.49,-2.43,0.0832,0.2789,-0.1329,-0.0313,0.2104,-0.2037
3.0911,256.48,-1099.26,77.11,-14.34,122.40,-6.59,0.0723,0.2856,-0.1534,-0.0503,0.1977,-0.2118
3.1328,256.98,-1099.22,77.30,-12.17,128.21,-10.15,0.0626,0.2906,-0.1705,-0.0721,0.1825,-0.2208
3.1741,257.64,-1099.04,77.49,-10.01,131.99,-12.43,0.0531,0.2913,-0.1834,-0.0980,0.1621,-0.2292
3.2163,258.39,-1098.78,77.57,-7.93,136.05,-14.25,0.0462,0.2917,-0.1903,-0.1296,0.1333,-0.2324
3.2579,259.28,-1098.42,77.56,-5.72,140.14,-17.23,0.0387,0.2927,-0.1954,-0.1652,0.0960,-0.2306
3.2997,260.25,-1097.88,77.43,-3.46,143.88,-20.40,0.0315,0.2930,-0.1976,-0.2052,0.0503,-0.2227
3.3415,261.19,-1097.27,77.26,-0.47,148.04,-23.94,0.0246,0.2944,-0.1991,-0.2440,-0.0008,-0.2080
3.3824,262.15,-1096.63,76.90,2.27,151.58,-27.68,0.0168,0.2948,-0.1988,-0.2752,-0.0564,-0.1800
3.4238,262.99,-1096.01,76.39,4.73,154.57,-31.76,0.0091,0.2938,-0.1967,-0.2966,-0.1093,-0.1427
3.4662,263.71,-1095.43,75.94,7.29,157.23,-34.88,0.0010,0.2915,-0.1947,-0.3048,-0.1547,-0.0959
3.5081,264.22,-1094.86,75.54,9.58,158.52,-38.43,-0.0060,0.2878,-0.1924,-0.2945,-0.1866,-0.0417
3.5500,264.62,-1094.34,75.09,10.65,158.26,-40.54,-0.0115,0.2834,-0.1889,-0.2723,-0.1996,0.0145
3.5918,264.93,-1093.91,74.74,10.65,157.33,-41.77,-0.0158,0.2805,-0.1856,-0.2459,-0.1971,0.0657
3.6336,265.18,-1093.57,74.37,9.61,155.79,-42.01,-0.0180,0.2784,-0.1818,-0.2199,-0.1787,0.1087
3.6748,265.43,-1093.47,74.09,7.66,154.12,-42.19,-0.0186,0.2774,-0.1781,-0.1985,-0.1524,0.1406
3.7166,265.66,-1093.31,73.78,5.68,152.13,-41.17,-0.0181,0.2752,-0.1746,-0.1829,-0.1204,0.1630
3.7587,265.98,-1093.14,73.67,4.10,149.36,-40.86,-0.0157,0.2713,-0.1726,-0.1737,-0.0825,0.1738
3.8003,266.34,-1093.16,73.39,1.87,146.81,-39.87,-0.0117,0.2680,-0.1702,-0.1687,-0.0406,0.1781
3.8418,266.76,-1093.15,73.19,-0.50,144.09,-38.60,-0.0058,0.2646,-0.1682,-0.1667,0.0023,0.1748
3.8836,267.21,-1093.15,72.99,-3.04,140.74,-38.03,0.0022,0.2604,-0.1657,-0.1665,0.0444,0.1617
3.9254,267.74,-1093.16,72.68,-6.39,137.02,-36.70,0.0101,0.2567,-0.1628,-0.1662,0.0845,0.1446
3.9672,268.24,-1093.11,72.47,-9.18,132.60,-35.57,0.0196,0.2523,-0.1599,-0.1633,0.1217,0.1217
4.0090,268.75,-1093.07,72.22,-12.33,128.18,-33.85,0.0294,0.2479,-0.1561,-0.1576,0.1544,0.0976
4.0508,269.26,-1092.86,71.93,-15.55,122.96,-31.84,0.0399,0.2418,-0.1519,-0.1484,0.1785,0.0741
4.0926,269.63,-1092.78,71.78,-18.31,117.92,-29.69,0.0498,0.2357,-0.1504,-0.1357,0.1982,0.0505
4.1348,269.95,-1092.78,71.51,-21.36,112.57,-27.29,0.0592,0.2289,-0.1493,-0.1220,0.2163,0.0282
4.1765,270.11,-1092.89,71.32,-24.25,107.75,-24.54,0.0681,0.2221,-0.1520,-0.1071,0.2306,0.0054
4.2188,270.17,-1093.01,71.18,-27.36,102.03,-21.66,0.0767,0.2136,-0.1565,-0.0921,0.2418,-0.0205
4.2602,270.02,-1093.05,71.09,-29.76,97.02,-17.46,0.0863,0.2036,-0.1616,-0.0800,0.2499,-0.0447
4.3016,269.77,-1093.12,70.96,-31.75,92.32,-13.84,0.0961,0.1913,-0.1652,-0.0697,0.2561,-0.0670
