time,seconds_elapsed,bpm
1776284985277875968,1.5988759994506836,100.0
1776284986277874944,2.598875045776367,100.0
1776284993277875968,9.598875999450684,96.0
1776284996277875968,12.598875999450684,96.0
1776285001277875968,17.598875999450684,100.0
1776285007277875968,23.598875999450684,108.0
1776285011277875968,27.598875999450684,111.0
1776285020277875968,36.598875999450684,112.0
1776285023277875968,39.598875999450684,117.0
1776285055277875968,71.59887599945068,157.0
1776285060277875968,76.59887599945068,145.0
1776285064277875968,80.59887599945068,142.0
1776285066277875968,82.59887599945068,142.0
1776285075277875968,91.59887599945068,132.0
1776285078277875968,94.59887599945068,127.0
1776285081277875968,97.59887599945068,123.0
1776285090277875968,106.59887599945068,121.0
1776285093277875968,109.59887599945068,119.0
1776285099277875968,115.59887599945068,117.0
1776285104277875968,120.59887599945068,114.0
1776285106277875968,122.59887599945068,113.0
1776285111277874944,127.59887504577637,113.0
1776285117277875968,133.59887599945068,116.0
1776285122277875968,138.59887599945068,127.0
1776285126277875968,142.59887599945068,136.0
1776285155277875968,171.59887599945068,161.0
1776285159277875968,175.59887599945068,158.0
1776285162277874944,178.59887504577637,156.0
1776285170277875968,186.59887599945068,144.0
1776285171277875968,187.59887599945068,143.0
1776285176277875968,192.59887599945068,139.0
1776285183277875968,199.59887599945068,132.0
1776285188277875968,204.59887599945068,128.0
1776285191277875968,207.59887599945068,128.0
1776285196277875968,212.59887599945068,124.0
1776285205277875968,221.59887599945068,117.0
1776285209277875968,225.59887599945068,117.0
1776285214277875968,230.59887599945068,116.0
1776285216277874944,232.59887504577637,115.0
1776285224277875968,240.59887599945068,114.0
1776285226277874944,242.59887504577637,113.0
1776285231277875968,247.59887599945068,113.0
1776285237277875968,253.59887599945068,123.0
1776285241277874944,257.59887504577637,132.0
1776285258277875968,274.5988759994507,160.0
1776285265277875968,281.5988759994507,169.0
1776285270277875968,286.5988759994507,165.0
1776285272277875968,288.5988759994507,164.0
1776285277277875968,293.5988759994507,158.0
1776285285277875968,301.5988759994507,143.0
1776285286277875968,302.5988759994507,142.0
1776285291277875968,307.5988759994507,135.0
1776285296277875968,312.5988759994507,128.0
1776285302277875968,318.5988759994507,127.0
1776285310277875968,326.5988759994507,127.0
1776285314277875968,330.5988759994507,120.0
1776285320277875968,336.5988759994507,118.0
1776285322277874944,338.59887504577637,117.0
1776285326277875968,342.5988759994507,114.0
1776285331277874944,347.59887504577637,115.0
1776285336277875968,352.5988759994507,119.0
1776285341277875968,357.5988759994507,120.0
1776285346277875968,362.5988759994507,127.0
