time,seconds_elapsed,rotationRateX,rotationRateY,rotationRateZ,gravityX,gravityY,gravityZ,accelerationX,accelerationY,accelerationZ,quaternionW,quaternionX,quaternionY,quaternionZ,pitch,roll,yaw
1776284983950596608,0.27159667015075684,0.048858072608709335,-0.01530526764690876,-0.13217994570732117,-0.47947078943252563,-0.8146649599075317,-0.3262343108654022,-0.015600621700286865,-0.0002459287643432617,0.011918485164642334,-0.6293241606626199,-0.19974168512855794,0.5449643149710485,0.5167865431319696,0.9521512814454507,-0.9733427985012245,-0.8423436626076387
1776284983960552704,0.281552791595459,0.07079320400953293,-0.013485264033079147,-0.1195078194141388,-0.4784955680370331,-0.8154648542404175,-0.32566723227500916,-0.01886463165283203,-0.0013533830642700195,0.010115504264831543,-0.6289010530572517,-0.20023987132900473,0.5450416242266836,0.5170272198826312,0.9535318475625254,-0.9732049920569134,-0.8426840792339862
1776284983970508544,0.29150867462158203,0.07582417875528336,-0.01653285324573517,-0.11802763491868973,-0.47758397459983826,-0.8162703514099121,-0.32498660683631897,-0.015870004892349243,-0.004499912261962891,0.0038196444511413574,-0.6284831108893267,-0.2007587904015897,0.545162919115066,0.5172062373448989,0.9549248702336465,-0.9732911503130557,-0.842753927485223
1776284983980465664,0.3014657497406006,0.06476380676031113,-0.02189379744231701,-0.11563824117183685,-0.47668468952178955,-0.8170574903488159,-0.32432836294174194,-0.01760852336883545,-0.008748173713684082,0.00043004751205444336,-0.6280579360652748,-0.201249603899578,0.5452837932117274,0.5174045858577626,0.9562888132953666,-0.9733575258600403,-0.8429024327436712
1776284983990421760,0.31142187118530273,0.06393923610448837,-0.02561846561729908,-0.09995568543672562,-0.47587698698043823,-0.817779541015625,-0.3236939013004303,-0.019347012042999268,-0.00537109375,-0.00325620174407959,-0.6276504484388364,-0.20168513055434167,0.5454137539417372,0.5175924028594605,0.9575423010562593,-0.9734795287791287,-0.8430374897631864
1776284984000377600,0.3213777542114258,0.07058302313089371,-0.027988946065306664,-0.08643588423728943,-0.4752035140991211,-0.818435549736023,-0.3230246901512146,-0.014481544494628906,0.002197086811065674,-0.0039406418800354,-0.6272714157172972,-0.20207841248675892,0.5455748959753823,0.5177286439886051,0.9586829890178111,-0.9737832850274408,-0.8429883591485063
1776284984010334720,0.33133482933044434,0.07424262911081314,-0.03136298805475235,-0.07709325104951859,-0.4746326804161072,-0.8190576434135437,-0.322285920381546,-0.012839823961257935,0.007381737232208252,-0.0056864917278289795,-0.6269061941340746,-0.2024530901608292,0.5457744862215597,0.5178140831339932,0.9597664891843135,-0.9742889170069311,-0.8427311097074093
1776284984020290560,0.3412907123565674,0.06565553694963455,-0.03160906210541725,-0.06955570727586746,-0.47414731979370117,-0.8196280598640442,-0.32154959440231323,-0.013279438018798828,0.008623480796813965,-0.0039051473140716553,-0.6265627784967774,-0.20279201993847587,0.5459859018478141,0.5178743491907449,0.9607614719004823,-0.9748762944436269,-0.8423970042627411
1776284984030246656,0.35124683380126953,0.03439763933420181,-0.03725184500217438,-0.07399120181798935,-0.4736687242984772,-0.8201264142990112,-0.3209840953350067,-0.014139533042907715,0.00651240348815918,0.0026704370975494385,-0.6262372987953215,-0.20305736888296452,0.5461461852462515,0.5179952061537487,0.9616319063885039,-0.975224785452065,-0.8423755350624905
1776284984040203520,0.361203670501709,0.010203889571130276,-0.04224953427910805,-0.07994496077299118,-0.4731792211532593,-0.8205494284629822,-0.32062482833862305,-0.01363721489906311,-7.331371307373047e-06,0.00852152705192566,-0.6259127809952593,-0.2032251742060906,0.5462482145939757,0.5182140034647347,0.9623715877383572,-0.9752646713569192,-0.8428112127143699
1776284984050159616,0.37115979194641113,0.004457639530301094,-0.049658339470624924,-0.08507926762104034,-0.47264736890792847,-0.8209581971168518,-0.3203626871109009,-0.009454101324081421,-0.002192556858062744,0.011662095785140991,-0.6255692713590922,-0.20335130963263645,0.5463212486482577,0.5185021743140455,0.9630870934728532,-0.9751222745328137,-0.8435365651750698
1776284984060115456,0.3811156749725342,0.003016070695593953,-0.055920232087373734,-0.08954192698001862,-0.4721001386642456,-0.8213806748390198,-0.32008621096611023,-0.004920095205307007,0.0003663301467895508,0.0069758594036102295,-0.6251953243372896,-0.2034628926249144,0.5464062125693459,0.5188196416002436,0.9638273927388262,-0.9749851931356732,-0.8443463271944165
1776284984070072576,0.39107275009155273,0.00714498246088624,-0.06326320767402649,-0.08927880972623825,-0.47155052423477173,-0.8218181133270264,-0.31977346539497375,-0.0059885382652282715,0.0019481778144836426,-0.0013477504253387451,-0.6247979574391082,-0.20356977262305295,0.5465094858820824,0.5191475600613049,0.9645947426794529,-0.9748981857534686,-0.8451654752413738
1776284984080028672,0.4010288715362549,0.014432722702622414,-0.07088065147399902,-0.08504597842693329,-0.4710494577884674,-0.8222626447677612,-0.3193691074848175,-0.005085766315460205,0.0063904523849487305,-0.006421267986297607,-0.6243770599015265,-0.20366623543543758,0.546658500537245,0.5194592024592852,0.9653754182771583,-0.9749920946747324,-0.845870157058833
1776284984089984768,0.41098475456237793,0.018764618784189224,-0.08002008497714996,-0.09200002253055573,-0.470562219619751,-0.8227304220199585,-0.31888213753700256,-0.0036962032318115234,0.008582532405853271,-0.011043399572372437,-0.6239269024728212,-0.20376468952446522,0.5468444792114796,0.5197655896222445,0.9661978974620418,-0.9752201472995987,-0.846500859978437
1776284984099941632,0.4209418296813965,0.023049913346767426,-0.08902157098054886,-0.10600265860557556,-0.4700195789337158,-0.8232618570327759,-0.31831011176109314,-8.842349052429199e-05,0.01096034049987793,-0.014514535665512085,-0.6234171039377018,-0.2038802997259248,0.5470628582395842,0.520101980212311,0.9671334793327858,-0.9755180967675458,-0.8471677238028266
1776284984109897728,0.43089771270751953,0.02172999642789364,-0.09841491281986237,-0.11400199681520462,-0.4694134593009949,-0.8238465189933777,-0.3176915645599365,0.0004955828189849854,0.015191733837127686,-0.017421960830688477,-0.622853643856216,-0.20400496187173464,0.5472989958491328,0.5204797202241631,0.9681641597165254,-0.9758220067403418,-0.8479347076775907
1776284984119853824,0.4408538341522217,0.022351311519742012,-0.10626830905675888,-0.11543664336204529,-0.46880024671554565,-0.824453592300415,-0.31702128052711487,0.005528181791305542,0.019949257373809814,-0.020213156938552856,-0.6222530705755304,-0.20412127357899776,0.5475617400453084,0.520875861284424,0.9692359657487595,-0.9761955670076032,-0.8487250804776141
1776284984129810688,0.45081067085266113,0.0020537106320261955,-0.11251792311668396,-0.11507391929626465,-0.4682005047798157,-0.8250322341918945,-0.3164018988609314,0.008453190326690674,0.02089405059814453,-0.020557940006256104,-0.6216432686049425,-0.20419269782370092,0.5478178413562447,0.521306706736106,0.9702592893187144,-0.9765089856378506,-0.8496648345421568
1776284984139766784,0.4607667922973633,-0.019983680918812752,-0.12003841996192932,-0.10220658779144287,-0.46766871213912964,-0.8255150318145752,-0.31592878699302673,0.004121929407119751,0.012587785720825195,-0.014393508434295654,-0.6210532242995231,-0.20416549129437223,0.5480438479567755,0.5217828351290484,0.9711141307557245,-0.9766759658945906,-0.850856188588573
1776284984149722624,0.47072267532348633,-0.06214407458901405,-0.1254955530166626,-0.09082051366567612,-0.4672606885433197,-0.8258390426635742,-0.31568557024002075,0.0015929639339447021,-0.014355659484863281,0.001919090747833252,-0.6205094384289498,-0.20398838291326193,0.5482207180443187,0.5223129811594872,0.9716884711825485,-0.9766283508205784,-0.8523877948054112
1776284984159679744,0.4806797504425049,-0.10419299453496933,-0.1344381868839264,-0.08823112398386002,-0.46693745255470276,-0.8259910345077515,-0.31576618552207947,-0.0017362236976623535,-0.034268975257873535,0.013337016105651855,-0.6200038846930259,-0.20363190071863715,0.5483164728277242,0.5229515410379583,0.9719580708985319,-0.9761888078951801,-0.8545013454370366
1776284984169635840,0.49063587188720703,-0.12098725885152817,-0.13835591077804565,-0.08401986211538315,-0.4666582942008972,-0.8260297775268555,-0.3160771429538727,-0.0006878376007080078,-0.041432321071624756,0.01496019959449768,-0.6195242175747298,-0.20315785418519614,0.5483505338648338,0.5236680868174671,0.972026806923639,-0.9754543280341097,-0.857031729194194
1776284984179591680,0.5005917549133301,-0.10876654833555222,-0.1437850296497345,-0.0824054554104805,-0.46641722321510315,-0.8260491490364075,-0.3163822889328003,0.0036638975143432617,-0.03701847791671753,0.012640833854675293,-0.6190379866641399,-0.20265547724205188,0.5483973146592774,0.5243882938050302,0.9720611750428922,-0.9747661948209891,-0.859571804285407
1776284984189548800,0.5105488300323486,-0.0738229975104332,-0.14592990279197693,-0.0802091434597969,-0.46620264649391174,-0.826137125492096,-0.3164689838886261,0.004563271999359131,-0.027546346187591553,0.0023668408393859863,-0.6185235849830949,-0.2022166520909807,0.5485197639087108,0.52503629647678,0.9722172729221105,-0.974425094621721,-0.8617264765212052
1776284984199504640,0.5205047130584717,-0.012863773852586746,-0.14488328993320465,-0.0787835568189621,-0.4660072922706604,-0.8263639211654663,-0.316164493560791,0.0026131272315979004,-0.01822531223297119,-0.006482601165771484,-0.6179626630435443,-0.20191331376067378,0.5487702281206387,0.5255515845341994,0.9726198912776296,-0.9746776175182822,-0.8631784131609922
1776284984209461760,0.5304617881774902,0.057129960507154465,-0.14382082223892212,-0.0659274160861969,-0.4658569097518921,-0.8267729878425598,-0.31531545519828796,0.0018676519393920898,-0.008920371532440186,-0.013450443744659424,-0.6173547450736143,-0.2018038352915716,0.5491971216348452,0.5258620912493556,0.9733467464645277,-0.9757765121189581,-0.8635854390418317
1776284984219417600,0.5404176712036133,0.10335098206996918,-0.13663427531719208,-0.039370108395814896,-0.46586307883262634,-0.8272780179977417,-0.31397855281829834,0.0066193342208862305,-0.00293731689453125,-0.018571466207504272,-0.6167462346296112,-0.2018331678946624,0.5497945973747095,0.5259403689942787,0.9742451229131602,-0.9777534020888834,-0.862895625768972
1776284984229373696,0.5503737926483154,0.10115499794483185,-0.1332363784313202,-0.015271961688995361,-0.4660656154155731,-0.8277321457862854,-0.31247735023498535,0.014268159866333008,-0.007427036762237549,-0.007621496915817261,-0.6161990628186984,-0.20187687144558666,0.5504607707459737,0.5258680749461757,0.9750539637065271,-0.9801736710632823,-0.8615999058367294
