time,seconds_elapsed,latitude,longitude,ellipsoidalAltitude,altitude,course,speed,verticalAccuracy,horizontalAccuracy,speedAccuracy,courseAccuracy
1776283484600510208,-20.121489763259888,33.775382448889744,-84.4035248280727,249.41013844804223,279.82013829545434,-1.0,-1.0,22.28300673751143,42.81674178357278,-1.0,-1.0
1776283493600510208,-11.121489763259888,33.775382448889744,-84.4035248280727,249.41013844804223,279.82013829545434,-1.0,-1.0,22.28300673751143,42.81674178357278,-1.0,-1.0
1776283503103802624,-1.6181972026824951,33.77538267057194,-84.40352429200574,0.0,280.30915149430854,-1.0,-1.0,22.290937322193734,42.395013999999996,-1.0,-1.0
1776283505146616832,0.42461705207824707,33.77538195526764,-84.4035338897125,254.40847436107413,284.81847420848624,-1.0,-1.0,26.91320269500457,29.80078304520922,-1.0,-1.0
1776283511676660992,6.954661130905151,33.77538446367946,-84.40352959838218,248.6241807898342,279.0341806372463,-1.0,-1.0,16.951484492683445,35.641829219329,-1.0,-1.0
1776283517941799168,13.219799280166626,33.77536819561397,-84.4035690624891,254.33902072786304,284.74902057527515,-1.0,-1.0,24.78059379707338,42.70458534083291,-1.0,-1.0
1776283533226021888,28.504022121429443,33.77538033902181,-84.40353204430512,249.3153477647557,279.7253476121678,-1.0,-1.0,20.214067595442827,44.18703608963679,-1.0,-1.0
1776283541662420992,36.94042110443115,33.775380919563226,-84.40353092070559,249.2292539059223,279.6392537533344,-1.0,-1.0,20.66831070785022,34.839210593882605,-1.0,-1.0
1776283550662420992,45.94042110443115,33.775380919563226,-84.40353092070559,249.2292539059223,279.6392537533344,-1.0,-1.0,20.66831070785022,34.839210593882605,-1.0,-1.0
1776283558983331072,54.26133108139038,33.77538120707377,-84.40353117249927,0.0,280.2786376908364,-1.0,-1.0,22.25468565649939,190.79501399999998,-1.0,-1.0
1776283559434690048,54.712690114974976,33.77534507411718,-84.40357142645698,253.33646705834394,283.74646690575605,-1.0,-1.0,12.213700511411265,41.949668683341365,-1.0,-1.0
1776283565797345280,61.075345277786255,33.775335683064796,-84.40359117241792,253.58823107359467,283.9982309210068,-1.0,-1.0,8.38893696951842,35.63524537913456,-1.0,-1.0
1776283572054863872,67.3328640460968,33.77532884387074,-84.40360384195252,253.69897986136715,284.10897970877926,-1.0,-1.0,6.744174578213396,33.95833891252705,-1.0,-1.0
1776283578396749056,73.67474913597107,33.77535401831584,-84.40356450278705,253.6864788122504,284.0964786596625,-1.0,-1.0,5.819331708101485,35.42857818314219,-1.0,-1.0
1776283581187098880,76.46509909629822,33.77535923563952,-84.40355635186923,254.13362981878362,284.5436296661957,-1.0,-1.0,20.327732683240594,29.38766920833631,-1.0,-1.0
1776283585778633216,81.05663323402405,33.77534593183075,-84.40358906644745,254.12830101582284,284.53830086323495,-1.0,-1.0,15.70855798728889,39.44760819539168,-1.0,-1.0
1776283589894892032,85.17289209365845,33.77534419856777,-84.40359340338628,254.12830101582284,284.53830086323495,-1.0,-1.0,13.860888108908208,41.997866473669966,-1.0,-1.0
1776283594857370880,90.13537096977234,33.77547713371101,-84.40338269654747,247.59938703453327,278.0093868819454,-1.0,-1.0,23.544355243563285,40.163612941068976,-1.0,-1.0
1776283598595355136,93.87335515022278,33.775481236724204,-84.40337619312821,247.59938703453327,278.0093868819454,-1.0,-1.0,27.417742097425315,35.7340083940861,-1.0,-1.0
1776283611177596928,106.4555971622467,33.77534518859538,-84.40358353524704,254.12165677698687,284.531656624399,-1.0,-1.0,28.967096838970125,42.920401194126406,-1.0,-1.0
1776283615890778112,111.16877818107605,33.77534474272838,-84.40358426151023,254.12165677698687,284.531656624399,-1.0,-1.0,29.58683873558805,41.35158238646923,-1.0,-1.0
1776283620424803072,115.70280313491821,33.775332761369,-84.40359480376603,253.49751627299975,283.90751612041186,-1.0,-1.0,29.834735494235222,32.79866323251883,-1.0,-1.0
1776283624686882048,119.96488213539124,33.77533295665441,-84.40359454782298,253.49751627299975,283.90751612041186,-1.0,-1.0,29.93389419769409,61.31817368677162,-1.0,-1.0
1776283630885943808,126.16394400596619,33.77536137823711,-84.4035727961434,254.1142471029695,284.5242469503816,-1.0,-1.0,25.584757708013694,37.246336841615374,-1.0,-1.0
1776283631438839040,126.7168390750885,33.775364043545856,-84.40357075632235,254.1142471029695,284.5242469503816,-1.0,-1.0,23.845103112141537,40.13305820236475,-1.0,-1.0
1776283649312772864,144.59077310562134,33.775352677490154,-84.40355706984994,248.0008491516113,278.4108489990234,-1.0,-1.0,27.538041244856615,130.48107093686872,-1.0,-1.0
1776283730392768768,225.67076897621155,33.77539169515135,-84.40349956584527,248.94656931975123,279.35656916716334,-1.0,-1.0,30.0,42.921477953581245,-1.0,-1.0
1776283734703925248,229.98192524909973,33.77539176657963,-84.4034994676603,248.94656931975123,279.35656916716334,-1.0,-1.0,30.0,41.8546988100031,-1.0,-1.0
1776283791706489088,286.9844892024994,33.7753270833268,-84.40360671959091,1943.7130785559782,1974.1230784033903,-1.0,-1.0,66.72188809213955,42.55132629317787,-1.0,-1.0
1776283831567662080,326.8456621170044,33.77539161247208,-84.40351522172053,249.5620841384262,279.9720839858383,-1.0,-1.0,30.0,42.254555388778066,-1.0,-1.0
1776283837944536064,333.22253608703613,33.775366503173316,-84.40354313199231,252.30083961486815,282.71083946228026,-1.0,-1.0,30.0,43.69243774095078,-1.0,-1.0
1776283844141015040,339.4190151691437,33.775328746621824,-84.40360440890389,254.09449955651257,284.5044994039247,-1.0,-1.0,30.0,41.46007179999761,-1.0,-1.0
1776283850334715904,345.61271595954895,33.775380537318036,-84.403523171371,249.2376461207088,279.6476459681209,-1.0,-1.0,30.0,45.08458956405599,-1.0,-1.0
1776283856681645824,351.959645986557,33.77534757185807,-84.40356921989887,254.0758815765381,284.4858814239502,-1.0,-1.0,30.0,31.98572527508216,-1.0,-1.0
1776283863033079040,358.31107926368713,33.77535772083123,-84.40355520229919,264.47303787757596,294.88303772498807,-1.0,-1.0,30.134815603652214,30.88938060788833,-1.0,-1.0
1776283869375735040,364.65373516082764,33.77532261567293,-84.40360232357239,253.67425614975883,284.08425599717094,-1.0,-1.0,30.0,42.61475784654311,-1.0,-1.0
1776283888678177792,383.9561779499054,33.775492947728665,-84.40336205241393,247.40071754455562,277.8107173919677,-1.0,-1.0,30.0,39.832832816745494,-1.0,-1.0
1776283895036692992,390.31469321250916,33.77543062433516,-84.40345977614231,254.89278108477595,285.30278093218806,-1.0,-1.0,30.0,34.188910538852895,-1.0,-1.0
1776284023549903872,518.8279039859772,33.77534567239357,-84.40357068600112,254.06801402628508,284.4780138736972,-1.0,-1.0,16.154033535785604,42.955560466517554,-1.0,-1.0
1776284029795970816,525.0739710330963,33.77532961236901,-84.40359361660987,254.06754824320473,284.47754809061684,-1.0,-1.0,24.461613414314243,34.47687848742918,-1.0,-1.0
1776284032301496064,527.5794961452484,33.77532144700466,-84.40360527951192,254.06754824320473,284.47754809061684,-1.0,-1.0,27.784645365725698,42.952591830261085,-1.0,-1.0
1776284065207511808,560.4855120182037,33.775376250957805,-84.40354820588895,253.63897128596244,284.04897113337455,-1.0,-1.0,29.11385814629028,41.96739404652702,-1.0,-1.0
1776284067660399872,562.9384000301361,33.775376350256224,-84.40354808472642,253.63897128596244,284.04897113337455,-1.0,-1.0,29.645543258516113,39.97360769899641,-1.0,-1.0
1776284099267392256,594.5453922748566,33.77522514366938,-84.40373830389782,254.0741961679821,284.4841960153942,-1.0,-1.0,29.858217303406445,40.32886571261348,-1.0,-1.0
1776284123992096000,619.2700960636139,33.775331386343225,-84.40358934432705,253.42110271580657,283.8311025632187,-1.0,-1.0,29.943286921362578,35.87735945329604,-1.0,-1.0
1776284125465216256,620.7432162761688,33.77535777828948,-84.40355258251833,253.42110271580657,283.8311025632187,-1.0,-1.0,29.977314768545032,40.826298463406346,-1.0,-1.0
1776284184959405824,680.2374060153961,33.77538100256614,-84.40352953858105,109.05988259555215,139.46988244296426,-1.0,-1.0,131.50629463286677,44.00864982843227,-1.0,-1.0
1776284190385110784,685.6631109714508,33.77536739251738,-84.4035475819107,254.09567182941367,284.5056716768258,-1.0,-1.0,21.167410792994488,40.97839380802713,-1.0,-1.0
1776284196733282048,692.0112822055817,33.775380746166306,-84.40352641045274,249.42022356725846,279.83022341467057,-1.0,-1.0,26.466964317197796,38.856593524307314,-1.0,-1.0
1776284214867308032,710.1453082561493,33.77534341254022,-84.40357591679688,253.3175505900316,283.7275504374437,-1.0,-1.0,28.586785726879118,42.92830956078826,-1.0,-1.0
1776284306542657024,801.8206570148468,33.77536320049959,-84.40356728061636,254.09179126512333,284.50179111253544,-1.0,-1.0,29.434714290751646,42.94996621827478,-1.0,-1.0
1776284312805084928,808.0830850601196,33.77520847967292,-84.4037600095735,254.05097885131835,284.46097869873046,-1.0,-1.0,29.773885716300658,43.68377349694666,-1.0,-1.0
1776284315549700864,810.8277010917664,33.775206549340425,-84.4037624133239,254.05097885131835,284.46097869873046,-1.0,-1.0,29.909554286520265,42.237508695690245,-1.0,-1.0
1776284391203408128,886.4814081192017,33.77530778726361,-84.40363767463889,254.07589492797848,284.4858947753906,-1.0,-1.0,29.963821714608105,41.88378278958591,-1.0,-1.0
1776284395802576128,891.0805761814117,33.775308111860404,-84.40363731373797,254.07589492797848,284.4858947753906,-1.0,-1.0,29.985528685843242,31.913892629085915,-1.0,-1.0
1776284408474010112,903.7520101070404,33.775312772946066,-84.40361744112464,254.075887298584,284.4858871459961,-1.0,-1.0,29.9942114743373,42.92133850083463,-1.0,-1.0
1776284548724190976,1044.002191066742,33.775397488208824,-84.40350971387669,-476.5189553753784,-446.1089555279663,-1.0,-1.0,260.45100350974644,44.961685438695376,-1.0,-1.0
1776284554741317888,1050.0193181037903,33.775501812890205,-84.40334976605719,247.5005478202567,277.9105476676688,-1.0,-1.0,30.0,40.72595014448435,-1.0,-1.0
1776284624739460096,1120.0174601078033,33.775396114619845,-84.40351303603555,248.94120846706699,279.3512083144791,-1.0,-1.0,30.0,45.60839704160649,-1.0,-1.0
1776284648303660800,1143.5816609859467,33.775342119414724,-84.40358780113853,253.28014775549804,283.69014760291014,-1.0,-1.0,30.0,38.457721099488296,-1.0,-1.0
1776284653030594816,1148.308594942093,33.775335471452884,-84.40359017337549,254.1008701324463,284.5108699798584,-1.0,-1.0,30.0,34.47007430814386,-1.0,-1.0
1776284678390181120,1173.668181180954,33.775386018486785,-84.40351668838541,249.49254047918743,279.90254032659954,-1.0,-1.0,30.0,40.965355830500066,-1.0,-1.0
1776284684765644032,1180.0436441898346,33.77533765944324,-84.40358600991495,253.34253194821605,283.75253179562816,-1.0,-1.0,16.080000000000005,42.71529999548452,-1.0,-1.0
1776284697139263232,1192.4172632694244,33.77531761330456,-84.4036138013684,254.07588348388674,284.48588333129885,-1.0,-1.0,24.432000000000002,42.91776307942006,-1.0,-1.0
1776284703520237824,1198.7982380390167,33.775326529892006,-84.40360756163129,254.09728262394793,284.50728247136004,-1.0,-1.0,27.7728,41.172489798797635,-1.0,-1.0
1776284709897924864,1205.1759250164032,33.775352525734135,-84.4035750975823,249.74672968063766,280.15672952804977,-1.0,-1.0,29.10912,30.961981306032246,-1.0,-1.0
1776284716366912000,1211.6449120044708,33.77530282726466,-84.40363379129948,254.0758987426758,284.4858985900879,-1.0,-1.0,29.643648000000002,42.7100177571561,-1.0,-1.0
1776284722624199936,1217.9021999835968,33.77537275913877,-84.40352158376132,248.94658839323756,279.35658824064967,-1.0,-1.0,29.8574592,45.36512609106312,-1.0,-1.0
1776284728897482752,1224.1754829883575,33.7753313367639,-84.40358779528853,254.07766998192017,284.4876698293323,-1.0,-1.0,29.94298368,35.816510405227014,-1.0,-1.0
1776284735285486080,1230.5634860992432,33.77543069715138,-84.40345733422527,272.2896594262123,302.69965927362443,-1.0,-1.0,29.977193472,42.714873789035956,-1.0,-1.0
1776284741620000000,1236.8980000019073,33.77534281608284,-84.4035850321263,253.02991384245564,283.43991368986775,-1.0,-1.0,20.09690464580392,42.533313175846224,-1.0,-1.0
1776284747897989888,1243.1759901046753,33.77536074407103,-84.40356869374529,254.8985997944401,285.3085996418522,-1.0,-1.0,26.038761858321568,40.45665101467863,-1.0,-1.0
1776284770599493888,1265.877494096756,33.77531164961833,-84.40368384697437,269.50091018676756,299.91091003417966,-1.0,-1.0,28.41550474332863,36.57789828206148,-1.0,-1.0
1776284776970649856,1272.2486500740051,33.77532763180818,-84.40360329882932,253.26448590989577,283.6744857573079,-1.0,-1.0,16.373482607721975,42.714520366901766,-1.0,-1.0
1776284803467403008,1298.7454030513763,33.77527998993441,-84.40365366425804,253.24321294877,283.6532127961821,-1.0,-1.0,24.54939304308879,42.412238296076275,-1.0,-1.0
1776284804234364160,1299.5123641490936,33.775279291556714,-84.40365440256008,253.24321294877,283.6532127961821,-1.0,-1.0,27.819757217235516,42.86911983403055,-1.0,-1.0
