ArmSpan,149.15
Timestamp,HeadX,HeadY,HeadZ,HeadPitch,HeadYaw,HeadRoll,LeftX_norm,LeftY_norm,LeftZ_norm,RightX_norm,RightY_norm,RightZ_norm
0.0415,312.44,-1148.67,81.52,5.94,99.04,-0.66,0.0922,0.1199,-0.3656,-0.0692,0.1163,-0.3634
0.0841,312.53,-1148.79,81.32,4.97,98.49,-0.75,0.0907,0.1221,-0.3592,-0.0687,0.1216,-0.3550
0.1257,312.62,-1148.93,81.18,4.03,98.07,-0.80,0.0897,0.1246,-0.3531,-0.0679,0.1265,-0.3477
0.1675,312.72,-1149.06,81.08,3.27,97.69,-0.83,0.0899,0.1262,-0.3451,-0.0670,0.1304,-0.3410
0.2093,312.82,-1149.21,81.03,3.14,97.33,-1.05,0.0896,0.1278,-0.3390,-0.0662,0.1331,-0.3355
0.2509,312.91,-1149.39,80.93,2.63,97.03,-1.24,0.0891,0.1281,-0.3327,-0.0653,0.1347,-0.3319
0.2931,313.01,-1149.53,80.85,2.24,96.76,-1.35,0.0890,0.1258,-0.3271,-0.0642,0.1327,-0.3282
0.3347,313.11,-1149.66,80.77,1.92,96.43,-1.43,0.0878,0.1236,-0.3240,-0.0634,0.1294,-0.3260
0.3767,313.20,-1149.74,80.71,1.83,96.09,-1.52,0.0860,0.1206,-0.3231,-0.0627,0.1263,-0.3262
0.4184,313.30,-1149.81,80.65,1.88,95.83,-1.54,0.0839,0.1167,-0.3229,-0.0628,0.1223,-0.3260
0.4598,313.35,-1149.86,80.60,1.70,95.64,-1.85,0.0817,0.1145,-0.3237,-0.0624,0.1219,-0.3258
0.5018,313.44,-1149.87,80.58,1.39,95.65,-2.03,0.0799,0.1149,-0.3226,-0.0636,0.1247,-0.3219
0.5436,313.49,-1149.85,80.57,1.26,95.67,-2.47,0.0786,0.1192,-0.3163,-0.0659,0.1313,-0.3121
0.5856,313.52,-1149.84,80.51,0.56,95.74,-3.06,0.0787,0.1271,-0.3042,-0.0675,0.1425,-0.2967
0.6273,313.53,-1149.81,80.49,0.28,96.29,-3.47,0.0803,0.1405,-0.2900,-0.0685,0.1556,-0.2790
0.6687,313.50,-1149.82,80.42,-0.41,96.83,-4.23,0.0808,0.1586,-0.2725,-0.0685,0.1690,-0.2636
0.7104,313.49,-1149.89,80.34,-0.95,97.59,-4.61,0.0793,0.1773,-0.2532,-0.0678,0.1809,-0.2532
0.7525,313.48,-1149.99,80.32,-1.18,98.37,-5.13,0.0759,0.1963,-0.2351,-0.0663,0.1907,-0.2518
0.7941,313.53,-1150.13,80.28,-1.42,99.16,-5.58,0.0705,0.2155,-0.2191,-0.0650,0.1976,-0.2572
0.8360,313.59,-1150.20,80.29,-1.47,100.23,-6.16,0.0624,0.2307,-0.2046,-0.0647,0.1966,-0.2677
0.8772,313.71,-1150.21,80.27,-1.51,101.46,-6.99,0.0544,0.2448,-0.1931,-0.0668,0.1883,-0.2806
0.9186,313.82,-1150.12,80.29,-1.11,102.94,-7.63,0.0478,0.2583,-0.1852,-0.0717,0.1730,-0.2913
0.9608,313.94,-1149.95,80.35,-0.63,104.57,-8.60,0.0412,0.2673,-0.1798,-0.0813,0.1536,-0.3006
1.0029,314.08,-1149.71,80.33,-0.36,106.22,-9.57,0.0368,0.2768,-0.1760,-0.0956,0.1321,-0.3084
1.0448,314.21,-1149.38,80.38,-0.15,108.10,-10.57,0.0381,0.2873,-0.1738,-0.1170,0.1068,-0.3142
1.0860,314.36,-1148.95,80.37,-0.15,109.93,-11.46,0.0418,0.2972,-0.1715,-0.1436,0.0776,-0.3139
1.1276,314.56,-1148.34,80.43,0.38,111.53,-12.30,0.0470,0.3031,-0.1705,-0.1747,0.0410,-0.3033
1.1696,314.72,-1147.70,80.42,0.76,113.23,-13.11,0.0530,0.3094,-0.1694,-0.2084,-0.0001,-0.2841
1.2124,314.89,-1146.92,80.48,1.12,114.67,-14.27,0.0594,0.3131,-0.1691,-0.2397,-0.0463,-0.2534
1.2535,315.08,-1146.10,80.44,1.46,115.96,-15.26,0.0638,0.3141,-0.1697,-0.2631,-0.0908,-0.2075
1.2950,315.30,-1145.28,80.40,1.60,116.89,-16.74,0.0674,0.3133,-0.1704,-0.2742,-0.1274,-0.1501
1.3362,315.55,-1144.50,80.34,1.97,117.38,-17.81,0.0701,0.3117,-0.1697,-0.2729,-0.1504,-0.0868
1.3779,315.79,-1143.76,80.26,2.22,117.43,-18.91,0.0705,0.3107,-0.1665,-0.2562,-0.1509,-0.0216
1.4199,316.00,-1143.27,80.01,1.58,117.81,-19.34,0.0680,0.3105,-0.1595,-0.2335,-0.1397,0.0402
1.4616,316.26,-1142.84,79.83,1.07,118.30,-19.57,0.0619,0.3095,-0.1526,-0.2093,-0.1142,0.0905
1.5037,316.55,-1142.66,79.62,0.46,118.45,-19.58,0.0541,0.3083,-0.1461,-0.1908,-0.0798,0.1275
1.5450,316.81,-1142.66,79.35,-0.05,118.46,-19.55,0.0464,0.3056,-0.1401,-0.1754,-0.0377,0.1508
1.5872,317.16,-1142.70,79.26,-0.69,117.73,-19.14,0.0390,0.3013,-0.1373,-0.1606,0.0113,0.1551
1.6291,317.44,-1142.85,79.11,-0.91,116.05,-18.69,0.0328,0.2961,-0.1352,-0.1471,0.0669,0.1484
1.6711,317.66,-1143.15,78.93,-1.86,114.32,-17.59,0.0284,0.2917,-0.1333,-0.1328,0.1208,0.1280
1.7130,317.81,-1143.49,78.82,-2.93,111.97,-16.98,0.0254,0.2881,-0.1310,-0.1183,0.1706,0.0974
1.7547,317.89,-1143.81,78.69,-3.86,109.77,-15.48,0.0234,0.2844,-0.1280,-0.1025,0.2119,0.0640
1.7954,317.92,-1144.07,78.63,-5.11,107.08,-14.42,0.0202,0.2800,-0.1268,-0.0832,0.2404,0.0243
1.8373,317.96,-1144.27,78.60,-6.08,104.53,-12.01,0.0172,0.2735,-0.1290,-0.0686,0.2577,-0.0093
1.8797,317.84,-1144.49,78.49,-7.14,101.85,-10.18,0.0149,0.2679,-0.1387,-0.0546,0.2721,-0.0420
1.9214,317.72,-1144.53,78.59,-7.68,99.21,-7.72,0.0175,0.2584,-0.1563,-0.0535,0.2822,-0.0728
1.9634,317.46,-1144.64,78.47,-8.66,96.52,-5.19,0.0258,0.2477,-0.1795,-0.0520,0.2865,-0.0970
2.0046,317.09,-1144.56,78.49,-9.49,93.66,-3.16,0.0359,0.2298,-0.2102,-0.0495,0.2927,-0.1157
2.0469,316.60,-1144.41,78.56,-10.08,90.69,-1.55,0.0566,0.2014,-0.2412,-0.0465,0.2958,-0.1314
2.0890,315.96,-1144.08,78.67,-9.58,88.67,0.37,0.0870,0.1676,-0.2728,-0.0412,0.2962,-0.1471
2.1312,315.24,-1143.72,78.76,-9.77,86.48,1.08,0.1235,0.1246,-0.2975,-0.0384,0.2976,-0.1602
2.1730,314.54,-1143.19,78.80,-9.18,84.89,3.45,0.1604,0.0795,-0.3173,-0.0341,0.3005,-0.1730
2.2142,313.83,-1142.56,78.78,-9.50,83.09,4.99,0.1976,0.0271,-0.3245,-0.0306,0.3000,-0.1830
2.2558,313.19,-1141.81,78.70,-9.27,81.56,7.49,0.2270,-0.0292,-0.3172,-0.0259,0.3009,-0.1912
2.2976,312.63,-1140.88,78.59,-9.49,79.81,9.70,0.2513,-0.0829,-0.2988,-0.0214,0.3011,-0.1975
2.3395,312.21,-1139.98,78.29,-9.62,78.12,12.20,0.2648,-0.1321,-0.2656,-0.0151,0.3016,-0.2020
2.3814,311.87,-1139.01,77.99,-10.13,76.50,14.46,0.2694,-0.1731,-0.2230,-0.0102,0.3008,-0.2046
2.4230,311.62,-1138.11,77.57,-10.77,74.54,16.15,0.2684,-0.2048,-0.1714,-0.0062,0.3009,-0.2050
2.4647,311.45,-1137.31,77.11,-11.71,72.74,17.25,0.2651,-0.2221,-0.1152,-0.0033,0.3003,-0.2031
2.5055,311.32,-1136.64,76.68,-12.64,71.24,18.40,0.2567,-0.2284,-0.0575,-0.0010,0.2985,-0.2003
2.5472,311.23,-1136.12,76.23,-13.49,70.30,18.36,0.2464,-0.2219,0.0006,0.0005,0.2965,-0.1957
2.5895,311.14,-1135.71,75.84,-14.55,70.27,18.38,0.2336,-0.2035,0.0590,0.0011,0.2959,-0.1897
2.6312,311.08,-1135.48,75.43,-16.05,70.27,17.93,0.2175,-0.1741,0.1126,0.0020,0.2942,-0.1824
2.6729,311.03,-1135.35,75.05,-17.73,70.04,17.65,0.1961,-0.1387,0.1504,0.0032,0.2912,-0.1756
2.7146,310.92,-1135.42,74.87,-18.61,70.01,17.33,0.1749,-0.0996,0.1742,0.0043,0.2898,-0.1701
2.7563,310.66,-1135.52,74.83,-19.19,70.68,16.85,0.1607,-0.0524,0.1881,0.0054,0.2867,-0.1657
2.7983,310.36,-1135.79,74.77,-19.49,71.91,16.27,0.1485,-0.0033,0.1858,0.0068,0.2838,-0.1612
2.8403,310.07,-1136.10,74.80,-19.43,73.30,16.14,0.1386,0.0445,0.1716,0.0076,0.2817,-0.1569
2.8820,309.80,-1136.59,74.84,-19.97,75.04,16.26,0.1310,0.0940,0.1494,0.0076,0.2803,-0.1536
2.9237,309.55,-1136.92,75.08,-19.95,77.10,15.52,0.1230,0.1407,0.1170,0.0082,0.2767,-0.1532
2.9657,309.31,-1137.09,75.28,-19.19,79.79,14.07,0.1163,0.1804,0.0777,0.0080,0.2722,-0.1530
3.0071,309.17,-1137.11,75.47,-18.24,82.77,13.08,0.1093,0.2042,0.0373,0.0065,0.2678,-0.1537
3.0504,308.95,-1137.26,75.56,-17.86,86.29,10.99,0.1027,0.2266,-0.0013,0.0044,0.2653,-0.1552
3.0910,308.82,-1137.21,75.80,-17.52,89.46,8.99,0.0951,0.2396,-0.0405,0.0015,0.2621,-0.1595
3.1322,308.60,-1137.30,75.88,-16.89,93.14,5.87,0.0910,0.2492,-0.0760,-0.0029,0.2586,-0.1645
3.1742,308.48,-1137.15,76.06,-16.45,97.36,3.82,0.0896,0.2527,-0.1034,-0.0096,0.2534,-0.1731
3.2165,308.31,-1137.09,76.06,-15.90,102.40,0.37,0.0920,0.2587,-0.1247,-0.0192,0.2474,-0.1841
3.2586,308.20,-1137.04,76.07,-16.00,108.45,-3.26,0.0963,0.2609,-0.1387,-0.0324,0.2373,-0.1973
